time_ns,sec.str. C$\rm\alpha$ lcb [$\rm\AA$],sec.str. C$\rm\alpha$ rbd [$\rm\AA$],sec.str. C$\rm\alpha$ [$\rm\AA$]
1.0,0.8353425252511556,1.0166914125790583,1.0220085283807776
2.0,0.8664070137116042,1.0416349738858826,1.0290414951928586
3.0,1.0708472668169118,1.1999029239873433,1.2749977104548855
4.0,1.0374958925216768,1.2423720826893123,1.3104166664739192
5.0,1.0085547546184317,1.034777473383014,1.1408557889232342
6.0,0.9142133636197933,1.2904133471521833,1.2966558473691585
7.0,1.0504612674982445,1.2721595493075681,1.3072241846016894
8.0,0.9424008816916147,1.3461188354725395,1.2648800716562254
9.0,0.8372884744186122,1.0796362732861082,1.102531474345292
10.0,0.9683354090255321,1.221220079347925,1.2298693485073056
11.0,1.114530834758359,1.3416523005977763,1.4114031803722622
12.0,1.0668346672516895,1.194143817919678,1.3005492887857504
13.0,1.0540703935620002,1.4034703595346119,1.3570780731584478
14.0,1.1094126994320443,1.055894411937641,1.1415715347181634
15.0,0.9368534561594672,1.3813218429773952,1.2951299182389049
16.0,1.0230788701271127,1.2909195003412548,1.292597545315488
17.0,1.0687763117000968,1.3420467230410258,1.3664297385898063
18.0,0.9549207961311302,1.3861296667138678,1.4281083703375586
19.0,1.016960745463547,1.2155726358912897,1.3268522860082297
20.0,1.0635584109003653,1.1394178868780225,1.2358955391595383
21.0,1.0465460980858199,1.2208690398151916,1.257555383283288
22.0,0.9504444200185814,0.989507065102084,1.05910898695091
23.0,1.0777584963695865,1.0865585518567609,1.1992143727211482
24.0,0.9528352897272246,1.533175394703066,1.433187716446981
25.0,1.032401689221602,1.054388221397341,1.1434180233192668
26.0,1.1503808352368659,1.051227454555412,1.2006536311144884
27.0,1.0121184808366093,1.056522681965064,1.1213235058588333
28.0,1.212636370282055,1.1177518340744554,1.347073708631398
29.0,1.0379872957615333,1.064156220128823,1.1383178374288572
30.0,1.0277227374910336,1.1647147265552458,1.3037586167278445
31.0,1.0117002473212522,1.4402479285139551,1.3763747567284903
32.0,0.9685920411645488,1.329842017848199,1.2876122429107757
33.0,0.9450451592735759,1.2580363910465826,1.209269057884279
34.0,1.13538949560128,1.2026686648221665,1.2854197587606535
35.0,0.9875251433026946,1.2159771089023104,1.231918307007354
36.0,0.9736609911010451,1.3816334884412966,1.2546618932457272
37.0,1.0898388892745332,1.2942338737684684,1.306236407014754
38.0,1.0431619142764323,1.4394007001870157,1.4775932617578724
39.0,0.9188221728592583,1.3309745085215805,1.2657652437725246
40.0,1.0330577306030382,1.2246031729435145,1.3728205666491113
41.0,0.9815851911717818,1.3884969978152548,1.3548295492245188
42.0,0.9311340040987358,1.316055414344336,1.2523528119089646
43.0,0.9849964753673719,1.2815467991636678,1.2883236465652825
44.0,1.1915714942131694,1.1662618815054866,1.2928955578250365
45.0,0.9793018906669901,1.4784837174992291,1.3882840067892275
46.0,1.0032883726382344,1.3346268291149135,1.2765716623754495
47.0,0.9762747975657391,1.3412615608960767,1.2391653961538478
48.0,1.0568232046354766,1.414685918209935,1.390165145106083
49.0,1.0447011646332616,1.333759573214079,1.3332596439022484
50.0,1.079672227207067,1.456647230865849,1.4460287699391314
51.0,1.0046440387999305,1.4588095058270663,1.3423271977701328
52.0,1.079040805629781,1.4077570389509468,1.3473886882537518
53.0,0.9454579438965293,1.45546722058056,1.315728786008977
54.0,1.0213280884098714,1.2186257606890822,1.2072310281945735
55.0,0.9542716067821669,1.4805807280828114,1.3405442394111948
56.0,1.027346855374061,1.4182115052212956,1.4990772296015402
57.0,1.1004006942346762,1.4208247169977268,1.5729507474438003
58.0,0.9324654799860054,1.3799239812670288,1.2807330854725212
59.0,0.9036557131828464,1.4372507498313183,1.3545395312200723
60.0,1.0364687024091168,1.3638785943701415,1.3554917335716101
61.0,0.9882536612150196,1.6098896631054607,1.5020168038650057
62.0,0.914816107089766,1.3844684223899342,1.3030506419171712
63.0,1.0388718189259007,1.4930261949357444,1.4168226925061937
64.0,0.949340254870511,1.3974838140131285,1.3870032209171583
65.0,0.9568836397721244,1.3571326952332317,1.2573639084450439
66.0,0.9903063572988248,1.394992445931659,1.3828129048351872
67.0,0.8660063292211779,1.5701726169044419,1.6263285203750728
68.0,1.000000088979514,1.6047972673984878,1.4480601795554247
69.0,1.008783467370537,1.4174303245714703,1.3332561320047518
70.0,1.0188474431301755,1.3765143218015774,1.289192988149874
