time_ns,sec.str. C$\rm\alpha$ lcb [$\rm\AA$],sec.str. C$\rm\alpha$ rbd [$\rm\AA$],sec.str. C$\rm\alpha$ [$\rm\AA$]
1.0,0.9272056318357247,1.0275496037773058,1.172150591531432
2.0,1.0059313025672543,1.1250246782823163,1.258156317291624
3.0,0.9670409443169657,1.1330124986785155,1.3736184727045304
4.0,0.9705679125904683,0.9668770095193029,1.057441278240089
5.0,0.9102805527250507,1.2804374330286001,1.257507483034167
6.0,0.9395590802752014,1.2377713924392708,1.1825951692705807
7.0,0.98493913585657,1.0252496088467795,1.1895399749188924
8.0,0.9754067777178188,1.1067868413218762,1.1959206576578967
9.0,0.962255680374476,1.0050744894548576,1.1375999667896168
10.0,0.9614391406848137,1.252145192843021,1.2004411468324443
11.0,0.9709841667348449,1.2167317563386058,1.2621008868242567
12.0,0.97857374083354,1.0118080450691949,1.0759562255859743
13.0,1.044223468875802,1.074362989225526,1.3626320530510734
14.0,1.2979735116742255,1.158208897922316,1.4491529123703055
15.0,1.2002763268439611,1.1524818871478626,1.6450491773565812
16.0,0.9661331591437422,1.144881539887902,1.2706258837028093
17.0,1.0278380237524847,1.1842320645752888,1.2733578775627812
18.0,1.044457889036305,1.2016956933178755,1.217995076412046
19.0,0.9934729115402633,1.2210931182239186,1.2324109477422824
20.0,1.1114486556098233,1.2795294777823474,1.469057919596103
21.0,1.1317102032603528,1.3284448722145423,1.4298928122467334
22.0,0.9869432486026626,1.0056290201134337,1.108428863317246
23.0,0.8578221042043649,0.942789240439953,0.987777978990538
24.0,0.8749457506283189,1.0852730513787,1.1855157022312024
25.0,1.038751979687464,1.1366606866993574,1.327166589360681
26.0,1.0379874053514162,1.0355659546106544,1.1850794400185458
27.0,0.986558287679381,1.0858906864182716,1.2340926318222896
28.0,0.991021959292572,1.1237616857381199,1.2188632260878125
29.0,1.1725847949808599,1.027170597694172,1.2110948731844882
30.0,1.0691422669160444,1.0924356126821249,1.2891883571208722
31.0,1.1698908693492533,1.151211778250378,1.3406060163188662
32.0,0.9745423753156124,1.2317041526960046,1.3196969486146497
33.0,0.9714713350173302,1.103004814387709,1.146941847234715
34.0,1.03018568601749,1.085261246849275,1.2889697646770362
35.0,0.9372008407181116,1.0829330894305358,1.2570472366233658
36.0,1.1094646484430137,0.9830806185225959,1.1787210410198885
37.0,0.8765542222557237,1.1523440244924237,1.2631117289324758
38.0,0.965750952549245,1.0438239424474316,1.243311505254369
39.0,0.9086799108232747,1.2481199041461088,1.2252099093043163
40.0,1.1237210433268925,1.2660189905554358,1.3164204150734735
41.0,0.9339405190117517,1.259132842942575,1.2360754836910408
42.0,1.1014255614344448,1.262460014834672,1.411059731455324
43.0,1.0214797958533448,1.1873615978566905,1.2307302771865487
44.0,0.9326775789450586,1.2608916205387624,1.2412669750015124
45.0,1.0751114195048896,1.4543369303704274,1.5493869666602367
46.0,1.0246485276961121,1.5017716658037747,1.4530078247177025
47.0,1.1149968530267163,1.3523150232013543,1.3642375423439732
48.0,1.0353545233983958,1.3928127871672902,1.3658089326439289
49.0,1.0586024978196433,1.3362053457717018,1.3103517955442228
50.0,1.061618169036931,1.3283875489218286,1.3636070236510127
51.0,1.027873746777385,1.407970502136229,1.4007020879015082
52.0,1.0263416015434148,1.4814630273887495,1.5005655101380602
53.0,1.0551081708253114,1.2878536875265292,1.3534228546432427
54.0,1.1093833354698646,1.259996382180887,1.3407169424837226
55.0,1.1988372980975714,1.3725739133094816,1.4746379782201695
56.0,0.9936939897350482,1.2101422986871226,1.3716401569692969
57.0,1.1465762484366677,1.2242330521879496,1.322962517132038
58.0,1.1297117858703454,1.198169467793529,1.3254642642487497
59.0,1.1169503605732949,1.37404280515228,1.5410039460493645
60.0,1.1957394746858223,1.1871641488559188,1.361562338602439
61.0,1.1535126592624028,1.293587885283232,1.343079380704967
62.0,0.9553705490193275,1.2979837220148707,1.3112477151875206
63.0,1.0520240191221424,1.318406709442999,1.3462394580318207
64.0,1.1584473985463497,1.4880887405377436,1.4855386517076727
65.0,0.9536401285979613,1.33286081797183,1.314783648690342
66.0,1.0739113238056386,1.3631747488795543,1.3898033220789636
67.0,0.9948833031219839,1.3560601831838788,1.3220512055797515
68.0,0.9656666478577172,1.3203963561087881,1.2238774823818208
69.0,0.8757265548750268,1.202608876998047,1.2555301665616476
70.0,1.0066787717967194,1.1611443747086942,1.2421281674764844
71.0,0.8891279699529298,1.2662865955822684,1.1892464182035198
72.0,0.9952358299656618,1.2063406726591424,1.2843932259133493
