frame	complex	receptor	ligand	dG
0	-22767.859638160004	-5952.51332416	-16749.798260959997	-65.54805304000547
1	-22713.79369752	-5908.223092959999	-16732.87471616	-72.69588840000142
2	-22782.24013816	-5925.775863919999	-16800.50773992	-55.956534319997445
3	-22826.2138584	-5967.7645336	-16790.0869924	-68.36233240000001
4	-22802.513119600004	-5940.69859112	-16799.351954240003	-62.46257424000214
5	-22891.36566608	-5955.88900072	-16876.088125200004	-59.38854015999823
6	-22835.82327056	-5985.88777552	-16782.77725504	-67.15823999999702
7	-22809.1317744	-5952.94369536	-16784.79838224	-71.38969680000446
8	-22773.9609432	-5942.21874792	-16766.535062	-65.20713328000056
9	-22813.308055520003	-5965.02471224	-16780.36325952	-67.92008376000376
10	-22807.91879296	-5953.23602024	-16794.3448484	-60.33792431999973
11	-22813.276018	-5919.94718408	-16824.986493040004	-68.34234087999721
12	-22776.50324032	-5950.2233091200005	-16769.87234904	-56.40758215999813
13	-22766.923310159997	-5933.72231208	-16771.598569840004	-61.60242823999215
14	-22812.977758959998	-5967.28436472	-16776.26629184	-69.42710240000088
15	-22816.859646959998	-5943.24451416	-16812.75883256	-60.856300239996926
16	-22744.294268880003	-5942.82238672	-16734.29574784	-67.17613432000508
17	-22776.667780959997	-5932.188424880001	-16776.7052904	-67.77406567999424
18	-22784.164467439998	-5946.7151791999995	-16767.475681519998	-69.97360671999922
19	-22857.26306296	-5956.7432167199995	-16836.056103519997	-64.46374272000321
20	-22826.28332216	-5958.3586116	-16806.388365439998	-61.53634512000281
21	-22812.0436136	-5968.2977806399995	-16779.99997008	-63.74586287999773
22	-22798.30659016	-5969.44929104	-16761.628171919998	-67.22912720000022
23	-22758.015333839998	-5925.26173072	-16771.32383912	-61.42976400000043
24	-22761.94659384	-5946.18182488	-16751.26238064	-64.50238831999741
25	-22772.31077744	-5913.85790208	-16792.777098640003	-65.6757767199997
26	-22723.4393412	-5910.27136712	-16747.47433728	-65.69363679999879
27	-22737.77836304	-5947.3169904	-16719.518941039998	-70.94243160000406
28	-22699.935616559997	-5955.7606716	-16674.35211344	-69.82283151999582
29	-22769.67407672	-5967.60475752	-16731.49669736	-70.57262184000137
30	-22750.445831760004	-5960.99680208	-16723.41051128	-66.03851840000425
31	-22725.399357199996	-5960.00450328	-16698.7485112	-66.64634271999603
32	-22748.268691520003	-5926.948186239999	-16746.968923999997	-74.35158128000694
33	-22792.63931224	-5951.91833744	-16774.55384416	-66.16713064000214
34	-22825.94290784	-5945.206545679999	-16809.644927679998	-71.09143448000395
35	-22808.361320480002	-5931.31061208	-16816.3354316	-60.71527680000145
36	-22858.62563256	-5983.86861912	-16804.230265680002	-70.52674775999913
37	-22769.365757600004	-5940.7083844	-16774.34892536	-54.3084478400051
38	-22764.872975280003	-5925.3561315199995	-16774.82221296	-64.69463080000423
39	-22689.754843919996	-5911.82236744	-16713.652655280002	-64.27982119999433
40	-22777.52708424	-5965.18553192	-16745.06976368	-67.2717886399987
41	-22742.39354928	-5926.745574719999	-16754.91092264	-60.73705192000125
42	-22707.63519168	-5902.324368959999	-16744.597713920004	-60.713108799998736
43	-22715.413492559997	-5935.44757088	-16721.954145199998	-58.01177648000157
44	-22781.051297840004	-5944.4186576	-16765.15182424	-71.48081600000296
45	-22775.852369360004	-5946.261153840001	-16763.03741944	-66.55379608000294
46	-22823.980751119998	-5966.774352320001	-16796.284332080002	-60.9220667199952
47	-22779.994102239998	-5938.3756953600005	-16770.05840632	-71.56000055999903
48	-22793.160903919998	-5939.87706488	-16795.264690160002	-58.019148879997374
49	-22811.609383600004	-5949.2679431199995	-16801.891122240002	-60.45031824000398
50	-22834.193297280002	-5945.32816504	-16833.54255824	-55.32257400000526
51	-22760.637240639997	-5938.43426168	-16754.27859264	-67.92438631999903
