frame	complex	receptor	ligand	dG
56	-22665.07696488	-5898.993280160001	-16690.60736712	-75.4763176000015
57	-22748.24097512	-5895.3610188	-16772.32627168	-80.55368463999912
58	-22844.42304824	-5895.213352159999	-16877.44326512	-71.76643096000407
59	-22743.57161176	-5879.81382384	-16789.29865688	-74.45913103999919
60	-22760.00959928	-5885.983926	-16798.881879600005	-75.14379367999572
61	-22698.27820528	-5878.658786160001	-16755.63558376	-63.98383535999892
62	-22722.1072884	-5892.452838720001	-16766.387904159998	-63.26654552000036
63	-22708.740069679996	-5883.11079696	-16763.034363280003	-62.59490943999481
64	-22745.30634288	-5861.11535744	-16803.88733312	-80.30365231999895
65	-22808.22948984	-5890.17630056	-16864.7691656	-53.284023680000246
66	-22749.39507096	-5885.492497439999	-16782.43878472	-81.46378879999975
67	-22750.005312799996	-5864.55160416	-16821.033946	-64.41976263999459
68	-22685.31033152	-5864.3627428	-16758.266877920003	-62.68071079999572
69	-22644.61442608	-5855.73515584	-16718.4298436	-70.44942663999973
70	-22676.71240192	-5866.541176719999	-16751.31855136	-58.852673839999625
71	-22727.37547016	-5849.2994741600005	-16817.5696892	-60.50630679999813
72	-22759.300448399998	-5902.06927768	-16796.60276792	-60.628402799997275
73	-22759.13756128	-5882.788908400001	-16812.19482112	-64.15383175999887
74	-22734.685072	-5890.1421946400005	-16778.44226752	-66.10060983999938
75	-22748.607686720003	-5861.75800064	-16820.42317392	-66.42651216000013
76	-22738.749888239996	-5873.9251137599995	-16791.7529296	-73.0718448799962
77	-22766.46868592	-5879.999716639999	-16814.597915200004	-71.87105407999843
78	-22704.316401199998	-5875.944962799999	-16762.7118	-65.65963839999677
79	-22729.58158544	-5847.54834312	-16811.236837919998	-70.79640440000003
80	-22716.65940312	-5856.79074496	-16788.858763919998	-71.00989424000363
81	-22730.69043048	-5850.7611344	-16817.406492000002	-62.52280407999933
82	-22663.88948496	-5850.61215032	-16740.58986544	-72.6874691999983
83	-22701.77519424	-5873.76911368	-16762.985611679997	-65.02046888000405
84	-22742.7754516	-5853.89242416	-16827.40604976	-61.47697767999853
85	-22688.079134080002	-5877.353483039999	-16747.79473088	-62.93092016000446
86	-22695.501902879998	-5855.98225944	-16769.53088112	-69.98876231999748
87	-22677.758033199996	-5839.94504464	-16773.28058384	-64.53240471999379
88	-22710.972968320002	-5866.17360176	-16776.689540879997	-68.10982568000327
89	-22702.077983999996	-5858.30895576	-16770.41599872	-73.3530295199962
90	-22691.06826208	-5888.58650776	-16731.293794319998	-71.18796000000293
91	-22760.25539224	-5884.12791336	-16798.10747608	-78.02000279999993
92	-22703.76428592	-5844.50354176	-16790.11248952	-69.1482546399966
93	-22702.91404264	-5849.79063248	-16788.2531348	-64.87027536000096
94	-22748.14532336	-5873.26454384	-16805.551391279998	-69.32938824000303
95	-22740.010443839998	-5865.14903728	-16808.9523816	-65.90902495999762
96	-22694.56795624	-5855.6261524	-16783.82040168	-55.12140215999898
97	-22714.50275792	-5868.286589920001	-16778.4747276	-67.74144039999737
98	-22746.265260080003	-5898.12243672	-16789.763923839997	-58.37889952000478
99	-22724.22835792	-5844.26332344	-16814.43693384	-65.52810064000369
100	-22731.69136624	-5868.900217440001	-16794.0767556	-68.7143931999999
101	-22726.140352879996	-5839.47269728	-16814.548597120003	-72.11905847999151
102	-22763.330962400003	-5870.279005519999	-16841.56620568	-51.485751200005325
103	-22618.86605792	-5832.91012576	-16732.08524336	-53.87068880000152
104	-22733.0023504	-5856.6921748800005	-16813.14000992	-63.170165599996835
105	-22729.56916616	-5848.24021568	-16822.95379416	-58.375156319998496
106	-22726.39965328	-5852.2578012	-16808.827642480002	-65.31420959999741
107	-22758.54478544	-5867.076435440001	-16828.76170984	-62.70664015999864
108	-22802.01501288	-5871.10857808	-16872.92025824	-57.986176560003514
109	-22763.795669439998	-5855.27096448	-16847.096648720002	-61.428056239998114
110	-22708.655388319996	-5855.748626719999	-16790.521864640003	-62.38489695999306
111	-22727.43466136	-5889.86207232	-16775.5825736	-61.99001543999839
112	-22673.36219056	-5884.40689488	-16710.32920016	-78.6260955200014
113	-22705.184989439997	-5857.256637280001	-16784.306307439998	-63.622044719995756
114	-22758.57018584	-5891.2941744	-16803.025985440003	-64.25002599999789
