frame	complex	receptor	ligand	dG
67	-22880.79184384	-5929.61366816	-16872.43257352	-78.745602160001
68	-22842.52374072	-5901.33728072	-16874.54178584	-66.64467416000116
69	-22868.48218368	-5910.7985512800005	-16887.215633120002	-70.46799927999746
70	-22911.312193520003	-5915.505240400001	-16918.04621248	-77.76074064000204
71	-22923.986302479996	-5941.50060584	-16916.251504159998	-66.23419247999846
72	-22863.431741680004	-5930.9368527199995	-16861.781363600003	-70.71352536000268
73	-22861.543780560005	-5895.53924928	-16892.28655872	-73.71797256000718
74	-22908.397485759997	-5925.84268008	-16898.112831360002	-84.44197431999419
75	-22904.874217840003	-5941.712424079999	-16896.258149279998	-66.903644480004
76	-22811.48836104	-5949.51212688	-16783.1353444	-78.84088975999839
77	-22814.64511792	-5938.60787312	-16803.864890240002	-72.1723545599998
78	-22875.17265272	-5955.60837592	-16840.144086239998	-79.42019056000208
79	-22905.73884376	-5939.25591592	-16884.063700000002	-82.41922783999689
80	-22861.27074576	-5945.30578864	-16836.92891984	-79.03603727999871
81	-22861.84963152	-5949.89401424	-16825.96379496	-85.99182232000021
82	-22865.440781440004	-5939.556483519999	-16846.38957576	-79.49472216000504
83	-22835.10841136	-5951.3852272799995	-16804.95075792	-78.77242616000149
84	-22856.25935528	-5940.65072096	-16832.91704344	-82.69159088000015
85	-22812.45702888	-5922.278873040001	-16810.69100616	-79.48714967999695
86	-22815.90117992	-5933.24022656	-16798.972046400002	-83.68890696000017
87	-22859.712878399998	-5950.039854	-16827.119949199998	-82.55307520000133
88	-22892.17519864	-5942.318764080001	-16861.0873676	-88.76906696000151
89	-22898.43006704	-5961.6622468	-16861.066146	-75.70167424000101
90	-22886.214065440003	-5968.85699608	-16839.95307864	-77.40399072000582
91	-22883.21934	-5956.11719736	-16844.59671624	-82.50542639999912
92	-22924.2591196	-5948.26859168	-16895.75849512	-80.2320327999987
93	-22819.23728152	-5937.838606719999	-16808.799084159997	-72.59959064000577
94	-22772.481639600002	-5921.38019336	-16772.94133544	-78.16011080000317
95	-22765.68475008	-5926.90615048	-16769.45910512	-69.31949447999796
96	-22859.31185896	-5956.0225976	-16829.61171832	-73.67754304000118
97	-22884.785566720002	-5977.795217839999	-16840.02790232	-66.96244656000636
98	-22863.42653656	-5963.45165544	-16822.86997544	-77.10490568000023
99	-22865.923388000003	-5935.762167680001	-16854.01560664	-76.14561368000068
100	-22883.277700239996	-5927.00626032	-16871.473784	-84.79765591999603
101	-22852.42673456	-5929.49404704	-16842.34014896	-80.5925385599985
102	-22848.58122072	-5953.00586168	-16809.25474272	-86.3206163199975
103	-22838.170764079994	-5954.68159632	-16798.32809984	-85.16106791999482
104	-22939.932488959996	-5962.91719512	-16896.26637992	-80.74891391999336
105	-22858.07638112	-5954.80002872	-16825.280848959996	-77.99550344000454
106	-22853.84803624	-5945.67936056	-16823.44199512	-84.72668056000111
107	-22861.289904079997	-5942.5942268	-16847.52705208	-71.16862519999631
108	-22846.069867199996	-5968.584274559999	-16803.64055576	-73.84503687999677
109	-22826.39841056	-5920.81686288	-16834.49109728	-71.0904503999991
110	-22854.509702079995	-5949.51505456	-16832.46810656	-72.52654095999242
111	-22848.58355264	-5931.54505544	-16849.29104128	-67.74745591999817
112	-22858.941468800003	-5929.08062864	-16868.972568719997	-60.888271440006065
113	-22871.12901072	-5937.76544088	-16858.957010240003	-74.4065595999964
114	-22842.817171919996	-5940.93587392	-16834.209672719997	-67.67162527999972
115	-22909.13562656	-5932.7960592	-16888.110551600003	-88.22901576000004
116	-22860.492863520005	-5917.28692024	-16872.91434112	-70.29160216000673
117	-22915.67083032	-5927.81768296	-16899.633913600002	-88.21923375999904
118	-22846.264776720003	-5908.10190664	-16861.732208	-76.43066208000164
119	-22850.99443136	-5902.1492184	-16862.89631048	-85.94890247999865
120	-22860.59137112	-5910.540159680001	-16868.831115279998	-81.22009616000287
121	-22843.63452584	-5944.77439696	-16815.21932984	-83.64079903999664
122	-22962.435269600002	-5939.53056392	-16941.274068	-81.63063768000575
123	-22860.996248240004	-5909.251197999999	-16866.869911920003	-84.87513832000332
124	-22892.94722776	-5903.21499944	-16917.31417272	-72.4180555999992
125	-22863.61868656	-5903.357139760001	-16872.23870216	-88.02284463999968
126	-22864.32389912	-5912.80664264	-16872.290806959998	-79.22644952000337
127	-22915.19364744	-5927.462761119999	-16894.295239439998	-93.43564688000333
128	-22951.361427519998	-5925.17245704	-16947.37876088	-78.8102095999966
129	-22878.89256464	-5907.69976064	-16884.26037856	-86.93242543999804
130	-22880.83140008	-5928.5468164799995	-16871.4444736	-80.84010999999737
131	-22877.53253288	-5913.49605024	-16891.70312368	-72.33335896000062
132	-22874.639597200003	-5944.87366256	-16848.6484648	-81.11746984000274
133	-22864.301752400002	-5952.663861520001	-16832.40754864	-79.23034224000367
134	-22819.747354320003	-5915.76653896	-16816.7630804	-87.21773496000242
