frame	complex	receptor	ligand	dG
153	-22843.47954192	-5937.16790712	-16828.8426096	-77.46902520000367
154	-22839.16782384	-5920.0205847199995	-16827.00716864	-92.14007047999985
155	-22844.59875776	-5938.1379056	-16823.39635024	-83.06450191999829
156	-22821.049956	-5896.120274	-16844.44852496	-80.48115703999792
157	-22943.50852776	-5933.33609304	-16927.17166576	-83.00076895999882
158	-22853.3432376	-5950.66680064	-16824.1280472	-78.54838975999883
159	-22879.02357192	-5915.17600696	-16879.41451952	-84.43304544000057
160	-22841.5101516	-5922.80747576	-16835.22641992	-83.47625591999895
161	-22912.86100504	-5917.421760480001	-16913.64428296	-81.79496160000053
162	-22893.8034444	-5912.16527672	-16891.92314304	-89.7150246400015
163	-22914.02202232	-5951.807321599999	-16880.41933712	-81.79536360000202
164	-22875.53190768	-5970.59979064	-16821.5345804	-83.39753664000091
165	-22947.500378239998	-5964.79321112	-16905.66025912	-77.04690800000026
166	-22931.1608004	-5955.64552392	-16894.54490368	-80.97037280000222
167	-22857.18090088	-5945.51004056	-16833.302984320002	-78.36787600000025
168	-22944.904164879998	-5947.73927592	-16919.669442399998	-77.49544655999853
169	-22872.3386832	-5927.55158496	-16863.961116240003	-80.82598199999484
170	-22954.839639999995	-5943.231763119999	-16928.16396536	-83.44391151999662
171	-22939.9140384	-5947.751587199999	-16905.045345119997	-87.11710608000067
172	-22913.54190024	-5938.43220664	-16891.46922448	-83.64046912000413
173	-22939.480299199997	-5946.38304008	-16901.34657536	-91.75068375999763
174	-22976.47687464	-5975.8846597599995	-16908.953217759998	-91.6389971200042
175	-22823.214026240003	-5935.987393920001	-16812.3922556	-74.83437672000218
176	-22914.930296399998	-5899.04283408	-16929.787816879998	-86.09964544000104
177	-22918.03532496	-5940.34665472	-16887.167242559997	-90.5214276800034
178	-22851.3855008	-5963.54822	-16808.944611119998	-78.89266968000084
179	-22934.492914880004	-5933.58553952	-16912.2767476	-88.63062776000152
180	-22838.30411856	-5899.742752	-16857.854478240002	-80.70688832000087
181	-22906.816283439995	-5928.49112312	-16895.157718960003	-83.16744135999397
182	-22947.94987736	-5956.98459792	-16911.65109088	-79.314188559998
183	-22961.97166352	-5952.36412576	-16928.11920224	-81.48833551999996
184	-22900.187478080003	-5921.219957439999	-16883.27256584	-95.69495480000114
185	-22953.66113216	-5942.00955648	-16921.54684728	-90.10472840000148
186	-22986.17594072	-5953.888476640001	-16951.49187776	-80.79558632000044
187	-22955.906759520003	-5941.11384728	-16922.45820752	-92.33470472000045
188	-23057.18373416	-5971.65140704	-17001.20506304	-84.32726407999871
189	-23019.140250160002	-5954.3975303199995	-16978.20046712	-86.54225272000258
190	-23002.11282104	-5952.12290488	-16960.34138888	-89.64852727999823
191	-22903.827917200004	-5946.17330824	-16883.87773992	-73.77686904000439
192	-22961.7991212	-5956.3889696	-16923.090315840003	-82.31983575999766
193	-22941.85834832	-5954.30397904	-16898.246019759998	-89.30834952000077
194	-22923.10730576	-5929.50275288	-16905.47638552	-88.12816736000241
195	-22914.8591204	-5966.65531248	-16860.950398480003	-87.25340943999618
196	-22919.7788368	-5947.47946488	-16890.169810800002	-82.12956112000029
197	-22958.836367039996	-5964.66101888	-16920.19734816	-73.97799999999552
198	-22896.21740608	-5946.37600552	-16863.16734064	-86.6740599199984
199	-22859.740860640002	-5957.38569104	-16813.105346639997	-89.24982296000599
200	-22919.27969048	-5959.6181872	-16871.6372036	-88.02429968000433
201	-22905.64896512	-5951.31746656	-16863.498532560003	-90.83296599999812
202	-22942.229380800003	-5935.44781416	-16928.33654632	-78.4450203200031
203	-22980.904804559996	-5983.854913679999	-16913.461812240002	-83.58807863999391
204	-22864.97527816	-5943.959898	-16844.73036224	-76.28501791999952
205	-22956.53791688	-5957.188291840001	-16917.681405760002	-81.66821927999626
206	-22905.04828744	-5957.5884972	-16867.349193280003	-80.11059695999575
207	-22961.82210616	-5964.97822008	-16907.95130384	-88.8925822400015
208	-22883.642096	-5956.95283944	-16841.08728296	-85.60197359999802
209	-22905.313449600002	-5973.36854088	-16857.7828136	-74.16209512000205
210	-22971.84906296	-5953.75314336	-16937.37381376	-80.72210583999549
211	-23014.33568744	-5947.86693312	-16987.81864312	-78.65011120000054
212	-22945.581928720003	-5967.623601360001	-16904.825860959998	-73.13246640000216
213	-22976.481558000003	-5973.53510192	-16932.89123536	-70.05522072000531
214	-22896.31866424	-5944.627524400001	-16869.02538856	-82.6657512799975
215	-22925.48245112	-5927.16812424	-16922.052168	-76.26215887999933
216	-22984.01832688	-5974.3818794399995	-16918.209324080002	-91.4271233599975
217	-22920.44794224	-5961.42307792	-16880.01527888	-79.00958543999877
218	-22955.56287968	-5935.6049691200005	-16930.928846	-89.02906455999982
219	-22921.057782879994	-5943.254260079999	-16894.372847920004	-83.43067487998997
220	-22945.91577536	-5922.259037600001	-16931.77430096	-91.88243679999869
221	-22930.236030639997	-5933.94775744	-16911.30083896	-84.98743423999622
222	-22930.931151200002	-5956.13204136	-16895.83440008	-78.96470976000273
223	-22906.3497752	-5952.1156612800005	-16870.533227599997	-83.70088632000261
224	-22887.948776	-5946.81697	-16865.611901199998	-75.51990480000313
225	-22891.9901644	-5926.00593304	-16887.6721204	-78.3121109599997
226	-22954.465687760003	-5955.856781760001	-16923.603377120002	-75.00552887999947
227	-22892.237616000002	-5927.44474896	-16882.8416652	-81.95120184000189
228	-22899.498962880003	-5932.227334640001	-16894.92668208	-72.34494616000302
229	-22890.38197936	-5911.93144128	-16895.14653736	-83.30400071999975
230	-22876.74918192	-5909.798706320001	-16878.83998432	-88.11049128000013
231	-22929.47784512	-5924.448148320001	-16926.634904320003	-78.3947924799977
232	-22863.03831824	-5903.568417119999	-16879.1864252	-80.28347591999773
233	-22950.69336192	-5922.70410592	-16946.66458432	-81.32467168000221
234	-23004.31277528	-5956.23675704	-16962.69651296	-85.37950527999783
235	-22876.89229216	-5927.45535464	-16874.29866192	-75.13827559999845
236	-22909.279474079998	-5933.80463056	-16892.36051992	-83.1143235999989
237	-22986.966167040002	-5956.59108056	-16948.3008252	-82.07426128000225
238	-22895.99619528	-5920.4209136	-16893.67130352	-81.9039781600004
239	-22857.541310880002	-5939.62221032	-16825.25124864	-92.66785191999952
240	-22861.618324960004	-5924.0354724	-16851.719096319997	-85.8637562400072
241	-22916.072364239997	-5959.384413440001	-16876.59617976	-80.091771039999
242	-22861.263989360003	-5944.60345744	-16837.210256479997	-79.4502754400055
243	-22870.840897280003	-5926.044718800001	-16863.000528	-81.79565048000222
244	-22898.2346332	-5950.27859192	-16863.2887624	-84.66727888000241
245	-22842.200686080003	-5945.31518488	-16812.61595272	-84.26954848000241
246	-22882.63343008	-5932.054602079999	-16862.82734136	-87.75148664000153
247	-22895.99747584	-5934.35887496	-16873.51963712	-88.1189637599964
248	-22899.2156996	-5941.756601439999	-16882.21134648	-75.2477516800027
249	-22905.74041712	-5928.63345304	-16893.1932504	-83.91371367999818
250	-22919.88485264	-5963.1126574400005	-16876.567893760002	-80.20430143999693
251	-22958.271845680003	-5929.19873088	-16942.14911384	-86.92400096000347
