frame	complex	receptor	ligand	dG
30	-22852.56114016	-5933.92820696	-16850.4159864	-68.21694679999928
31	-22873.787416799998	-5946.360125200001	-16849.576650080002	-77.8506415199954
32	-22778.56129504	-5925.96911896	-16767.73262608	-84.8595499999974
33	-22862.57145512	-5950.9400768	-16844.411719279997	-67.21965904000535
34	-22852.8166396	-5931.210236	-16837.035856	-84.57054760000392
35	-22904.850144559998	-5944.436307519999	-16888.91290384	-71.50093320000087
36	-22809.79659936	-5931.50144776	-16804.76167272	-73.5334788800028
37	-22827.117741839997	-5921.72426464	-16827.5495132	-77.84396399999605
38	-22802.34820392	-5925.054367199999	-16814.729886240002	-62.56395047999831
39	-22910.37406	-5919.10993776	-16914.53697456	-76.72714767999787
40	-22866.64594424	-5896.47252528	-16899.107320639996	-71.06609832000686
41	-22930.836909920003	-5944.474750959999	-16917.465319760002	-68.89683920000243
42	-22971.4350024	-5956.43372576	-16947.395295360002	-67.60598128000129
43	-22882.603042559997	-5957.04270608	-16840.8628292	-84.69750727999781
44	-22782.044733839997	-5928.3990216	-16779.73803456	-73.90767767999569
45	-22831.72593616	-5928.299833919999	-16829.57113496	-73.85496728000362
46	-22912.25431632	-5973.66674536	-16861.42373504	-77.16383592000057
47	-22885.02818416	-5931.95995304	-16886.25721872	-66.81101240000135
48	-22760.239154879997	-5922.50383408	-16771.489496719998	-66.2458240800006
49	-22795.67635856	-5920.9624936	-16802.956604720002	-71.75726023999596
50	-22819.79808144	-5930.0178893600005	-16827.216682320002	-62.56350975999521
51	-22863.892828239997	-5948.7963327200005	-16839.4223624	-75.67413311999553
52	-22831.774893439997	-5934.68827408	-16816.18490608	-80.90171327999633
53	-22779.9938408	-5924.52774312	-16786.72898304	-68.73711464000007
54	-22803.82396496	-5911.89278368	-16823.87409448	-68.05708679999952
55	-22837.71206088	-5913.47840312	-16852.72161792	-71.51203983999949
56	-22812.93131624	-5917.71402008	-16824.60575552	-70.6115406400022
57	-22783.28788184	-5938.10637464	-16781.547867679998	-63.63363952000145
58	-22852.78855584	-5947.08751728	-16832.9317876	-72.76925096000195
59	-22817.218255120002	-5902.943341360001	-16844.15248552	-70.12242823999986
60	-22899.363773920002	-5934.419018080001	-16889.34605712	-75.59869872000127
61	-22820.0076764	-5962.401652400001	-16772.327190080003	-85.27883391999785
62	-22884.83345096	-5943.73322056	-16869.10155648	-71.99867391999942
63	-22899.48852136	-5946.90428152	-16884.9964484	-67.58779143999709
64	-22887.3217216	-5935.9520301600005	-16879.34440688	-72.02528455999709
65	-22826.127638640002	-5929.92288344	-16825.804587919996	-70.4001672800041
66	-22753.95349384	-5936.1724344	-16742.62592776	-75.15513167999961
67	-22814.909453199998	-5943.5049109599995	-16793.89532224	-77.50921999999628
68	-22856.54441048	-5946.958810640001	-16832.81253304	-76.77306680000038
69	-22801.784227520002	-5929.59260616	-16807.679105040002	-64.51251631999912
70	-22933.156391200002	-5944.97066496	-16925.7615268	-62.42419943999994
71	-22823.109042480002	-5930.46086016	-16822.85234064	-69.79584167999928
72	-22833.761073040005	-5932.3272411200005	-16826.11299616	-75.3208357600015
73	-22823.253293200003	-5946.30012264	-16800.94417128	-76.00899928000217
74	-22772.55727272	-5915.11007968	-16790.188837520003	-67.2583555199999
75	-22841.18617784	-5924.4822976	-16842.14837584	-74.55550440000297
76	-22774.379999599998	-5902.2883358399995	-16814.53374584	-57.557917919999454
77	-22818.982636399996	-5961.21230008	-16783.20007912	-74.57025719999729
