frame	complex	receptor	ligand	dG
39	-22604.727443919997	-5837.59366744	-16697.116355280003	-70.01742119999471
40	-22703.26118424	-5890.55593192	-16736.394863679998	-76.3103886400022
41	-22664.67294928	-5852.71267472	-16737.125222640003	-74.83505191999575
42	-22619.34689168	-5826.31906896	-16727.201613920002	-65.82620880000104
43	-22644.304592559998	-5867.56257088	-16708.992745199997	-67.74927648000084
44	-22709.113097840003	-5872.5745576	-16755.769324240002	-80.7692160000006
45	-22694.023469360003	-5866.2723538400005	-16757.87311944	-69.87799608000569
46	-22742.04735112	-5893.531552320001	-16778.40893208	-70.10686671999792
47	-22707.14880224	-5862.58739536	-16765.62060632	-78.94080055999802
48	-22712.19140392	-5867.17396488	-16778.464290160002	-66.55314887999702
49	-22708.909383600003	-5866.71464312	-16779.39752224	-62.7972182400008
50	-22739.39409728	-5869.22816504	-16809.07135824	-61.09457400000247
51	-22671.116840639996	-5861.55776168	-16738.24159264	-71.31748631999653
52	-22671.46187784	-5864.04953784	-16747.74909544	-59.66324456000075
53	-22669.1940496	-5867.99859416	-16735.51478216	-65.68067327999961
54	-22642.598227039998	-5827.57846272	-16747.12892176	-67.89084255999842
55	-22646.825843680002	-5879.18923024	-16706.51641512	-61.12019832000078
56	-22665.05577864	-5866.71863584	-16748.93368736	-49.40345543999865
57	-22668.736957999998	-5864.545056880001	-16742.81692816	-61.37497295999856
58	-22682.992167440003	-5866.328309199999	-16751.90059456	-64.76326368000446
59	-22686.107103039998	-5872.82909032	-16754.5034636	-58.7745491200003
60	-22711.402550960003	-5851.24929208	-16790.5778388	-69.57542008000382
61	-22721.584921359998	-5881.04159872	-16781.90100744	-58.64231519999885
62	-22699.27558024	-5873.58555704	-16757.03125216	-68.6587710399981
63	-22715.76976648	-5879.2111132	-16778.623509999998	-57.9351432800031
64	-22667.615895520004	-5875.23640008	-16725.6090568	-66.7704386400037
65	-22701.9541136	-5855.371518	-16776.23058256	-70.35201303999929
66	-22749.51068736	-5866.886164320001	-16823.831966960002	-58.792556079999486
67	-22766.864150639998	-5908.56484576	-16813.654017599998	-44.64528728000005
68	-22708.55659704	-5892.18554384	-16772.691889759997	-43.679163439999684
69	-22733.44320256	-5870.421016159999	-16803.88889744	-59.133288960001664
70	-22675.50151232	-5890.551247279999	-16730.4380668	-54.512198239997815
71	-22685.266960079996	-5890.852272960001	-16744.47189224	-49.942794879996654
72	-22685.988810799998	-5897.80710568	-16725.77028456	-62.41142055999808
73	-22633.20186728	-5850.49318512	-16737.859824720003	-44.84885743999985
74	-22711.293426960005	-5874.32504304	-16780.102108720002	-56.86627520000184
75	-22717.4882164	-5861.68005072	-16800.62091896	-55.187246720000985
76	-22745.806960160004	-5858.527302960001	-16831.92029224	-55.359364960000676
77	-22705.313778080003	-5845.754756079999	-16799.986952159998	-59.57206984000368
78	-22666.78333808	-5903.28626016	-16694.96851352	-68.5285643999996
