time_ns,sec.str. C$\rm\alpha$ MP $\rm\AA$,sec.str. C$\rm\alpha$ RBD $\rm\AA$,sec.str. C$\rm\alpha$ complex $\rm\AA$,sec.str. C$\rm\alpha$ MP interface helices $\rm\AA$,sec.str. C$\rm\alpha$ MP distanced helix $\rm\AA$
1.0,0.9664328291426105,1.3820574954878604,1.453857524243936,0.9088276805596256,0.7188944740544072
2.0,0.9170128863045448,1.270978487545605,1.1774264559651924,0.8507451166974477,0.5581280595989312
3.0,0.9278201901148764,1.4728052612875653,1.3323170333581982,0.9756733445786381,0.6239019247446574
4.0,0.9119260653483866,1.2122908907095247,1.2497032254071465,0.9459140135224339,0.7237142738352796
5.0,0.7902649330197634,1.0516709676966025,1.1494690657673279,0.7675917401713005,0.6441469735066947
6.0,0.8018441619073928,1.1649488168199034,1.1091105440384426,0.8080507863558472,0.7408195364461833
7.0,0.8497843042818319,1.2062038190273419,1.27694290258995,0.7875126694377268,0.7451293266579367
8.0,0.9643959274341843,1.338782693542673,1.358555082121966,1.0135525614668164,0.622243035119654
9.0,1.1093504850009237,1.3515061312918388,1.2943731667238003,0.9933882300823313,0.840240741435016
10.0,1.1311001322694298,1.0549240249704834,1.2763892806271744,0.9922312321069863,0.6760935396484482
11.0,0.9792379222442423,1.4845916092833775,1.4259670492990209,1.015314363746722,0.5577660014643618
12.0,1.1564752433065923,1.2394082626898784,1.3285504604247116,1.1088664624857045,0.742655503977579
13.0,1.211079462598177,1.2114792082016905,1.285617676892941,1.1224835600764975,0.7839553012666001
14.0,1.381616989745993,1.2574753533731944,1.4516297437606214,1.3651305669471778,0.8719695388691875
15.0,1.0675975632522758,1.3450121509154538,1.3417980146216302,1.0408709375854739,0.8002329678480448
16.0,1.0198340094377765,1.2971594466173955,1.2027884226109016,1.0068536630589462,0.6097572947533274
17.0,1.079286686207603,1.2980682844368578,1.365014595412269,1.0742536017633781,0.6786251533345614
18.0,1.329668912378593,1.1768576608208858,1.4316296960278818,1.2393147788239665,0.8507945894324113
19.0,0.9498264385597015,1.3163105318690393,1.2391523030138518,0.9884953641861303,0.7192196571494573
20.0,1.062743447328371,1.4348971838819742,1.4359291353734718,1.0401593445972592,0.8132732771207534
21.0,1.209060115635401,1.229345591093794,1.4524312346271633,1.1649392258550721,0.9496610010768067
22.0,1.1198792207635286,1.324317877172621,1.7380415159090776,1.2180807073828614,0.5923530777657064
23.0,1.4209360331110086,1.2790535226589603,1.6344044384113965,1.1773591023486565,0.897169072989529
24.0,1.2653273073512652,1.2921486077161997,1.587020501100075,1.0888600528235077,0.7100283719966844
25.0,1.1824966799812804,1.3590821298225373,1.5114537426802923,1.111578696705748,0.8172102277341474
26.0,1.1768833863698778,1.399323181016792,1.8427674858208123,1.2211257369040998,0.8756467579086596
27.0,1.0919994063399967,1.170743194553757,1.4238172694078821,1.0549070177706237,0.752640034341508
28.0,0.9554589611409168,1.2026154126403992,1.323515647104737,0.9295213956151138,0.7043518788467714
29.0,0.9366775355213064,1.4389968216730589,1.4277174714313237,0.8733288352886284,0.6319901299973122
30.0,1.067737707887492,1.3324471696810154,1.5718417468021038,0.9872913576879173,1.005264175064603
31.0,1.2815167972513244,1.170318461206329,1.4914206310058356,1.1835669506172661,0.8660767595519274
32.0,1.119882048342688,1.413033014171103,1.5211555768468648,1.1902926499632847,0.758985038640771
33.0,0.9240978779008404,1.4066638768906083,1.4050452350380984,0.8787817571814088,0.7368250997311735
34.0,1.0583476363679911,1.3960542990665585,1.4297329843940778,1.0167557968694891,0.7789119421321214
35.0,1.1008042534204052,1.3273542699742857,1.5687979507685719,1.0434912892411612,0.8298994293866846
36.0,1.0243625488361618,1.17179799449629,1.2563998144738417,0.920539781286619,0.7925107279657865
37.0,0.9801736563228242,1.333416833568179,1.4382282530002193,0.982736953764974,0.7431500208397798
38.0,1.018972611360696,1.1957688721478774,1.2781081964079875,0.8977412825585694,0.9412817414919452
39.0,0.7016435867428651,1.2582385261682254,1.217583961224101,0.7507668072607904,0.5625695382294538
40.0,0.974879216522863,1.284415773165653,1.253219419498682,0.9135129973511343,0.812389902072086
41.0,0.8610991226297858,1.3594757379750624,1.2364939615919286,0.8590781814398774,0.7509308598819268
42.0,1.0747695577075211,1.1977158862895119,1.3741430045294696,0.9003293278210386,0.7033107502743549
