time_ns,sec.str. C$\rm\alpha$ MP $\rm\AA$,sec.str. C$\rm\alpha$ RBD $\rm\AA$,sec.str. C$\rm\alpha$ complex $\rm\AA$,sec.str. C$\rm\alpha$ MP interface helices $\rm\AA$,sec.str. C$\rm\alpha$ MP distanced helix $\rm\AA$
1.0,1.1063513924155246,1.093215545258036,1.304215295260262,1.1592273195006835,0.6372364398430034
2.0,1.04793893990247,1.2280970091528998,1.1878905507347175,1.0544125305966874,0.7824746902799141
3.0,1.0838516839501737,1.0539116545168188,1.2207354774092702,1.073624605209537,0.7555299455407504
4.0,0.9537280596767038,1.2399110532651914,1.2703749264379354,0.983893082605778,0.6130230964815561
5.0,1.057008431592159,1.0521784018584606,1.3823968376082156,1.1364804397589314,0.6214869550179722
6.0,1.103381617097899,1.1522231417906796,1.3337759989072866,1.0861655109842683,0.8470538159980674
7.0,1.3558374956119879,1.24973706969453,1.5024094021649204,1.2265744570964572,0.9129766156697532
8.0,1.056521908586915,1.3314660875921067,1.5066403922445204,1.156241447616997,0.6224796602685733
9.0,1.2149724392265586,1.5219926658315197,1.4917614561605046,1.2913786899145836,0.668252822527168
10.0,1.4285900515280776,1.5327078868587203,1.6845010127204056,1.485987698018006,0.7734373712152756
11.0,1.2205667177848278,1.576272616875957,1.5499195508382004,1.223596003232014,0.8053123284643385
12.0,1.3512297830262396,1.6559900956119709,1.8484940987847425,1.3826741409534933,0.8673111163350179
13.0,1.1303157557443984,1.6188262452865563,1.5754628817798346,1.2083237439323866,0.7280912493287331
14.0,1.1075876160366496,1.5037995573464165,1.5976194089523508,1.089949713186047,0.8014504482962869
15.0,1.168385800991559,1.4110826365836011,1.3783605325650572,1.176528327777601,0.7369439440173741
16.0,1.1826912355487182,1.6002595089438065,1.667032879800833,1.2011863363685118,0.9125206182630606
17.0,1.095183442115907,1.561201529539573,1.4412161515414719,1.1783101410837964,0.6266864690498306
18.0,1.0664012792179287,1.5538826091654325,1.3814356793849634,0.9559012570352725,0.8794663348845018
19.0,1.1632810509757898,1.9630001506962182,1.8535667462414438,1.1739213061830722,0.8717887806457785
20.0,0.9454712937727745,1.9278574635713523,1.6550577351246483,1.0174509131505924,0.5213370014704237
21.0,1.047328739588878,1.9623625660070005,1.794514784360926,1.1788806793883984,0.6032429766096966
22.0,1.1013970661160726,1.6531557470860894,1.478786529863935,1.1571220302195124,0.6689692697843543
