time	total_energy	polar_energy
598	-0.6108960839999997	6.301964
599	-0.1894213207999993	4.798986
600	-1.6542076247999997	4.29403
601	-0.38402426080000013	1.17245
602	-0.8981195152000003	7.869574
603	-0.7407932583999999	4.264048
604	-0.14011810000000002	0.269714
605	-0.9743591823999999	5.584304
606	-0.3924597968000007	4.196536
607	-0.40694821439999995	1.626112
608	-0.4062199704	2.801982
609	-3.7100780944	11.992416
610	-4.7437836456000015	12.262728
611	-0.5866780623999998	7.631924
612	-0.4254724496000003	4.484044
613	-0.10873888959999994	-1.179668
614	-0.4769829568000003	4.904102
615	-0.4445736480000001	6.010828
616	-0.44060981280000056	4.978234
617	-0.8442384640000002	4.81186
618	-0.6211577319999998	3.269606
619	-0.4357158368	3.132994
620	-0.18965029439999986	1.979552
621	-0.5225837360000001	3.706194
622	-0.40378038639999947	4.581632
623	-0.06918469279999998	0.731266
624	-0.6194770903999992	4.766478
625	-0.606356491199999	4.75806
626	-0.4825582087999998	5.780296
627	-0.3779053743999998	3.25586
628	-0.7772319103999994	4.910496
629	-0.48239480639999976	3.95742
630	-0.4155024991999997	3.0652
631	-0.6212793951999999	4.633324
632	-0.2905254711999993	5.893314
633	-0.8465096463999996	9.449016
634	-0.3581831200000002	3.295236
635	-0.4272627863999998	4.949258
636	-0.6019835144000003	4.443636
637	-0.34068234159999977	3.634614
638	-1.3009016791999994	12.345272
639	-0.8261526664000006	3.62071
640	-0.33362117199999997	0.858646
641	-0.11270200000000008	1.439598
642	-3.0790196344000007	5.516006
643	-0.45529882399999966	5.796826
644	-1.4588093088	6.566738
645	-0.7362443296000001	4.497702
646	-0.4389801216000001	1.481566
647	-0.4341733256000001	2.869624
648	-1.2754035071999992	4.939624
649	-1.3289955719999993	9.475942
650	-0.8197195311999999	6.669502
651	-0.6167326728	4.08186
652	-0.5120372720000002	2.37321
653	-1.883717322399998	11.292986
654	-0.7961474311999996	7.653602
655	-0.5090570847999999	4.611472
656	-0.6164659783999995	4.05041
657	-0.9624475784000011	10.46847
658	-2.0221426816000005	5.381976
659	-0.9436753191999999	0.063422
660	-1.1890520543999998	4.010378
661	-1.1026629096000002	2.382908
662	-0.6079922520000001	1.493376
663	-0.8905394047999999	-1.019048
664	-1.6616392807999998	2.756296
665	-2.0687344224	2.750278
666	-0.8594660199999999	-0.29516
667	-1.416476248	-0.504518
668	-2.2188722832000005	4.125024
669	-0.8249289039999999	-0.437602
670	-0.8464987568	-0.257452
671	-1.2655464808	3.34049
672	-1.9310035655999997	2.561516
673	-0.9374579376000001	-0.602398
674	-1.5135097728	0.19008
675	-2.8968103352	12.261428
676	-1.6786139032000003	7.180364
677	-0.2684423352000002	2.68389
678	-0.5453607967999989	6.017134
679	-0.6077737223999994	5.170892
680	-0.11872800000000039	2.740922
681	-0.31370299840000093	4.727256
682	-0.09928600000000021	2.211086
683	-0.3165285087999997	4.8021
684	-0.11597400000000002	3.004998
685	-0.18126106320000032	3.108246
686	-0.1862596735999999	2.977046
687	-0.18516399999999988	2.11608
688	-0.46715727279999997	3.030688
689	-0.181832	3.065262
690	-0.12127800000000022	2.702536
691	-0.3872782608000004	2.622934
692	-0.3934638136000005	4.38371
693	-0.6889827471999995	5.455266
694	-0.45772964719999965	2.471506
695	-0.9426270807999988	5.465518
696	-1.6071527704000002	5.636842
697	-0.6620510551999994	3.799596
698	-0.58912374	5.190434
699	-0.6445020999999999	5.467558
700	-0.24606215919999996	3.195806
701	-0.6538513343999997	6.115122
702	-0.1695574528	2.9543
703	-0.3156905623999999	3.491394
704	-0.12069200000000002	2.382918
705	-0.7808824424000002	2.615768
706	-0.37117178399999984	5.14885
707	-0.2276219743999996	4.963642
708	-1.0024402863999997	6.3903
709	-1.0367037320000003	4.187104
710	-0.23634578479999982	3.246156
711	-0.13232487840000007	3.064206
712	-0.28342180159999986	2.745652
713	-0.29681748239999983	3.13064
714	-0.1533859999999998	2.88543
715	-0.17194536800000015	3.357542
716	-0.1254109359999996	3.5257
717	-0.21306695440000006	2.51402
718	-0.33934589999999987	3.737924
719	-0.3551951136000011	4.345628
720	-0.11379399999999995	3.210348
721	-0.18944399999999995	2.424038
722	-0.21943870719999958	3.673128
723	-0.3831442447999997	4.117816
724	-0.33154273760000036	4.744236
725	-0.3462987303999999	3.175224
726	-1.782492167200001	6.042628
727	-0.5706959912	3.077636
728	-0.4012165256	2.374314
729	-0.5871565207999998	1.845984
730	-0.6885231663999998	3.693198
731	-0.6518886255999996	6.878446
732	-0.7837508296	6.482588
733	-0.5285126544000001	6.937526
734	-0.7735921383999995	7.475996
735	-0.6442031824000001	7.245868
736	-0.7553906415999998	6.408322
737	-0.3544647824000005	5.882224
738	-0.2161420000000005	6.031872
739	-0.26938847439999947	5.052766
740	-0.18135145519999982	2.620732
741	-0.3734677279999994	4.320744
742	-0.24185699840000036	3.64606
743	-0.5460414536000002	3.104084
744	-0.7528109184000003	3.46866
745	-1.1389582103999998	5.369604
746	-0.6587234208000003	4.816116
747	-0.24795676800000038	2.721122
748	-0.8883059672000002	5.092498
749	-0.15200199999999997	2.811706
750	-0.16157999999999983	2.922458
751	-0.34347323920000006	3.31964
752	-0.3339403960000003	3.616154
753	-0.27395267999999984	3.59017
754	-0.2408423704	4.316636
755	-0.3975923119999999	3.45939
756	-0.1583539152000001	3.574966
757	-0.2455799848	4.206036
758	-1.0942856375999994	5.611884
759	-1.2009985888	6.259998
760	-0.4818772175999996	5.021574
761	-0.8355251224000004	4.797946
762	-1.0302675239999997	3.821266
763	-0.21659640319999957	2.97915
764	-0.18620293600000024	3.448168
765	-0.1723480000000004	3.04925
766	-0.21453482080000008	3.708306
767	-0.879901927200001	5.161802
