time	total_energy	polar_energy
566	-22.804045781599992	70.950458
567	-27.913166697599998	70.968422
568	-28.037041012799996	70.6136
569	-26.823928665599986	69.339854
570	-19.1409327632	74.714068
571	-21.9090485688	71.565534
572	-26.224820371200007	74.275244
573	-24.4432954528	75.381032
574	-26.162386555199987	69.539264
575	-25.093908507200005	69.015738
576	-26.9132084664	72.334566
577	-26.14060274159999	72.48962
578	-24.847402509599988	73.398312
579	-19.561636710400006	72.834632
580	-11.307266172800002	68.718426
581	-24.65667650640001	69.029614
582	-24.8857204608	74.820472
583	-26.728824352000018	72.725394
584	-26.113709553599996	72.297942
585	-22.109271562399996	69.518092
586	-25.644063678399995	69.645972
587	-29.791622045599986	68.898064
588	-26.01849631679999	73.927676
589	-22.22524139920001	73.427528
590	-22.5272819144	77.813978
591	-23.16823014319999	73.89512
592	-21.950592127999993	72.041222
593	-24.93615461519999	75.518388
594	-14.434014918399992	71.297198
595	-20.103794868799987	76.563124
596	-20.855293700800008	78.459202
597	-21.115129600799992	73.178942
598	-21.9874708496	75.342748
599	-25.29390223439999	74.518738
600	-25.6747106928	71.56034
601	-25.14822301439999	70.659726
602	-25.355847233600006	72.99386
603	-30.0162694984	73.978888
604	-25.142058369599997	74.359616
605	-18.297745102400008	75.900714
606	-24.5507834272	74.491506
607	-23.45383770560001	71.524974
608	-27.22218379599999	75.94155
609	-27.377105756	72.302756
610	-27.733630635999987	72.760248
611	-27.806408919999992	69.901024
612	-29.099495507999997	69.546474
613	-20.249592253600007	75.655958
614	-24.831683288000008	70.881444
615	-20.186301338400003	74.608688
616	-23.55985017120001	73.471234
617	-24.984713722399995	78.104146
618	-25.2046917216	71.88694
619	-23.376800376	73.012656
620	-27.718673884799998	70.871954
621	-23.54326481520001	72.007622
622	-28.048590888000003	67.051726
623	-25.019908084799997	73.300698
624	-23.90019871200001	75.472994
625	-21.745936724000003	73.204068
626	-26.341656606399997	74.137856
627	-27.973336878400005	69.989666
628	-22.30729775520002	74.457816
629	-25.623838336	72.319056
630	-27.362299165599993	71.425576
631	-24.170218876800003	74.65073
632	-21.063918478400005	72.298016
633	-30.4405989112	70.679534
634	-22.828852880799985	70.504568
635	-26.122430831199996	70.90083
636	-15.792799854399997	72.326496
637	-27.7347435864	73.387736
638	-21.383081155200003	72.425036
639	-20.212582551999997	72.648966
640	-27.96294188399999	71.283168
641	-20.105423611199996	74.127916
642	-22.974267108	75.662514
643	-25.070177597599987	72.168974
644	-22.453247512799987	73.834794
645	-23.093562417599998	73.172476
646	-24.632428232000002	75.456486
647	-18.845831523200008	76.52078
648	-24.363134176800017	75.866672
649	-26.954929025600002	75.551222
650	-22.014827419999996	74.193932
651	-24.377289105599996	75.103566
652	-25.74899896640001	72.540776
653	-29.060792741600004	72.314612
654	-26.323703577599993	73.6799
655	-22.913271449599982	74.271792
656	-23.849834602399994	77.683214
657	-18.341777171999993	71.245872
658	-23.65308384719999	77.719502
659	-23.7002645328	78.867808
660	-19.9490450072	75.176172
661	-22.306950206399993	74.351344
662	-22.799949740000002	73.116072
663	-22.213831168799988	75.675606
664	-26.983467129599994	74.281034
665	-20.727748582400004	73.959374
666	-23.818108182399993	72.702554
667	-22.97426877999999	71.919604
668	-20.897999018399986	72.757472
669	-24.434903398399996	71.92397
670	-27.269531211200004	69.224388
671	-25.651919642400003	74.553664
672	-27.732949568800002	71.74021
673	-20.637720794399996	74.927912
674	-24.446078565599997	71.425538
675	-20.202139204799998	72.547632
676	-23.344481520799985	74.993536
677	-24.134030967199998	70.696004
678	-27.205878075200005	68.585138
679	-21.480593086400006	78.089912
680	-20.457558129599995	75.241192
681	-22.395571567999994	71.816284
682	-25.403674969599994	75.731386
683	-26.776216392800002	73.966902
684	-24.9049402392	73.206234
685	-22.718755330399983	76.864748
686	-26.65546445439999	71.073254
687	-25.07368035999999	73.945648
688	-23.290834740000015	72.526152
689	-19.273165542400008	73.557652
690	-25.290869943199986	77.145142
691	-21.233693043200002	75.58433
692	-20.4048413072	74.383994
693	-26.3203207536	73.3147
694	-22.18477318800001	74.578386
695	-19.5361846056	75.761734
696	-27.23399358959999	71.488248
697	-21.7819269608	75.727496
698	-27.413588765600004	67.30707
699	-30.27941176080001	69.556426
700	-20.167526775999995	73.941792
701	-20.7910006168	72.59853
702	-25.701911709599994	74.143142
703	-24.5077823864	71.759818
704	-25.410047249600005	72.595348
705	-28.199678763199984	71.03409
706	-23.367856890400013	74.224572
707	-26.506917228000006	72.956954
708	-28.352722247199992	73.878082
709	-26.214664108800008	70.761468
710	-27.988194656800005	71.11683
711	-20.166680032799995	69.54495
712	-21.0936229792	73.935406
713	-21.3777348616	70.621092
714	-28.527381987199995	70.682944
715	-23.411556881600006	74.705156
716	-23.522095819999997	73.413146
717	-26.79027246319999	66.927998
718	-23.20264276560001	70.13063
719	-20.708859860000008	69.050784
720	-17.721082388799996	78.075182
721	-22.820806718400007	72.637026
722	-24.2809536144	74.59724
723	-22.214449716000004	73.314272
724	-22.029172672	74.151036
725	-25.711880472799997	74.806294
726	-23.54072276159999	73.96934
727	-24.430166358400008	73.963358
728	-23.954732044799997	73.943534
729	-23.533370256799998	74.382204
730	-23.011205045599993	77.592706
731	-24.578705897600003	72.296238
732	-24.8261108512	68.528008
733	-21.39948005840001	71.46054
734	-23.34710658879999	75.432134
735	-20.8205858696	78.944064
736	-13.60208139920001	68.806136
737	-16.679657316799993	73.198402
738	-24.4484940208	73.492114
739	-19.96462653439999	74.33983
740	-21.452399072800013	78.109828
741	-18.032648053600006	74.01279
742	-22.619652517600002	76.984168
743	-25.447770876	74.153718
744	-29.845053553600003	69.35899
745	-20.13126857760001	78.882074
746	-25.355007657600005	73.586022
747	-25.315522017600003	75.040866
748	-22.384729004000008	76.692158
749	-18.214560262399985	75.044886
750	-18.6065011688	77.241446
751	-23.822834893600003	73.369834
752	-18.727626692000015	78.22048
753	-19.99878021760001	74.921314
754	-22.533149594399994	76.186096
755	-24.7053035904	77.534142
756	-27.440547609600006	72.997902
757	-21.039917273600004	74.705314
758	-19.958567734400006	70.230792
759	-22.818087436000006	73.620434
760	-24.531393423999994	71.419712
761	-23.842293044	71.688444
762	-21.5485641216	73.873236
763	-23.501413291199995	74.746284
764	-22.6088865816	72.364966
765	-21.69728623120001	74.723914
766	-24.770099490399993	73.574702
767	-17.89749667039999	75.432208
768	-24.176695712000004	74.263402
769	-25.144096444000006	76.223992
770	-24.445623014400002	75.505204
771	-25.5185439416	74.707974
772	-24.5394844968	74.822682
773	-23.629191775999992	74.303656
774	-19.50690779760001	76.140946
775	-22.77493933359999	72.259466
776	-20.414036043200007	76.731068
777	-21.489118516799998	77.58553
778	-22.990952808800017	75.14123
779	-19.89043303119999	72.056272
780	-20.962979616000005	76.15024
781	-26.913965434399994	72.250562
782	-21.961838638399996	75.197914
783	-27.951092982400002	72.189168
784	-21.081984040000002	74.81732
785	-25.2167095672	74.385292
786	-23.523382160000004	71.962104
787	-22.51624576719999	77.616906
788	-23.46375931920001	76.937868
789	-21.2953140464	75.97011
790	-19.849355444799997	75.936316
791	-25.769630649600003	70.716694
792	-19.546170894400007	79.117234
793	-23.155522539199996	73.935692
794	-21.44762700640001	72.756682
795	-10.024567973600002	65.558224
796	-21.8822984232	77.893574
797	-23.31826018800001	80.769196
798	-19.610092996799995	74.796456
799	-24.076381608800006	77.270376
800	-24.384686847999994	75.249094
801	-22.5013673976	77.777504
802	-25.893459317600005	76.235456
803	-23.386331294399987	78.103994
804	-19.4333871152	72.89377
805	-26.921830439199997	74.395504
806	-20.0865269456	72.946118
807	-20.433015780800012	73.560722
808	-20.134340666399993	75.545494
809	-21.1266628256	73.81939
810	-22.786628564000004	75.280586
811	-25.697750843200005	73.564268
812	-20.783440143199996	74.425928
813	-24.256909467999996	74.639398
814	-23.974001747999992	74.66289
815	-25.757046319999997	74.937616
816	-26.274382934400002	75.585338
817	-19.611250742399996	72.455432
818	-23.56903984000001	72.65565
819	-22.604185288	74.706224
820	-20.737810618399998	72.921934
821	-24.534797499200003	71.201622
822	-24.843868129600015	75.103786
823	-27.253080056800002	74.413484
824	-26.58231333679999	72.046366
825	-21.819928212800004	73.559794
826	-24.406035303200007	71.99366
827	-23.60934242639999	76.141242
828	-21.782501499199995	70.919374
829	-24.511963486400006	72.327424
830	-21.04940443599999	77.338448
831	-22.670138461600004	76.666978
832	-17.640431308800004	77.926092
833	-22.1529533832	75.748616
834	-21.587468624800003	76.235682
835	-24.318523212800002	72.960204
836	-21.7191174608	75.782768
837	-18.978801517599994	75.70263
838	-23.78444233119999	72.810068
839	-26.2033147032	72.231056
840	-23.254128443199992	76.431042
841	-25.9257810328	71.918236
842	-21.914127553599993	72.676072
843	-25.62699808	75.613124
844	-25.44164707279999	71.622684
845	-19.523718567199985	69.260508
846	-24.789621861600004	68.773822
847	-23.39993932480001	74.69997
848	-20.80402314080001	72.89184
849	-23.3284923672	71.067594
850	-22.757391416000004	74.921218
851	-22.626465507200002	74.161632
852	-28.47301551680001	71.304576
853	-16.937917371200005	78.36634
854	-24.88102118959999	74.67178
855	-27.271660986400008	69.433936
856	-23.3579122096	74.353052
857	-25.882834530400004	72.08988
858	-23.244484319199998	75.633718
859	-24.479592935200003	72.529464
860	-27.831557228799994	68.67452
861	-20.480822501600006	74.475634
862	-25.58694123840001	73.744154
863	-23.329589183200014	74.324784
864	-25.79281556720001	71.73393
865	-25.097543148000003	75.00441
866	-21.211736484000003	73.556896
867	-24.502584088800013	70.863868
868	-26.594907797599983	71.34506
869	-24.581563023200005	74.001842
870	-19.632862433599996	72.016614
871	-23.340962580799996	75.11175
872	-28.176513501599995	72.34039
873	-22.387991856000006	73.214936
874	-27.353462121599993	71.653808
875	-15.534488731999993	70.866688
876	-23.77156594000001	73.27299
877	-25.996454632800006	71.44471
878	-26.209080092000008	73.407416
879	-24.490224959999992	69.895816
880	-27.001298772000002	71.385582
881	-27.7427734384	70.114424
882	-25.57614989359999	71.645132
883	-26.45549814719999	71.718292
884	-24.695479474400003	72.684876
885	-15.620766479199998	75.8839
886	-20.631653660799998	75.53466
887	-26.823681769600007	73.679822
888	-21.9508452816	74.678362
889	-19.192410911999993	77.593918
890	-21.760550288799998	76.151132
891	-23.159634691199983	73.663452
892	-23.50538473999999	72.98435
893	-19.226211644000003	77.315666
894	-25.550613516800006	75.501352
895	-28.08976111520001	71.35989
896	-26.745512551200008	71.616952
897	-22.626812146399995	75.928628
898	-21.362525864799988	74.520508
899	-23.344448064	72.183988
900	-22.546083680800017	73.908504
901	-24.5576854272	69.69946
902	-17.079801930399995	73.854696
903	-24.093527350399995	75.136598
904	-20.434552499200002	77.989056
905	-25.989032319200014	73.31029
906	-22.502216557600004	74.227498
907	-24.951503999200007	73.086424
908	-22.592829024000018	76.022792
909	-26.920520209600003	69.079594
910	-24.972740747199992	75.49241
911	-30.77019371839999	65.938438
912	-31.1603701088	65.09961
913	-27.7002152832	70.771462
914	-24.96750318719999	73.051006
915	-25.316151068	72.962044
916	-27.390395856000012	70.186516
917	-20.512424858400014	74.360874
918	-22.806680816800007	74.570728
919	-26.187116393600014	68.764726
920	-22.397190304	73.915636
921	-20.7995005712	73.71561
922	-22.7024073432	72.522638
923	-23.083897029600017	76.141212
924	-23.207870464000003	73.268978
925	-20.696211903999995	74.20765
926	-25.931818393599993	72.889392
927	-22.724492121599987	75.318386
928	-24.240445426399997	76.21183
929	-24.640266370400006	70.451886
930	-25.11910807360001	74.614464
931	-24.965641320000003	71.213816
932	-25.630902562399992	75.489574
933	-22.855211598399997	76.855502
934	-26.918989464800006	72.860404
935	-24.689046695200016	71.640526
936	-29.49224010560002	68.270716
937	-25.20048915759999	73.71286
938	-21.910243597599987	75.33458
939	-19.40527940320001	79.147682
940	-22.762594785600008	74.256272
941	-22.4905650672	76.039558
942	-23.769348722399997	71.698534
943	-17.671101903200004	74.552356
944	-21.775049054399993	73.272108
945	-21.901590788000014	72.892546
946	-22.987767346400013	72.56751
947	-21.09803177199999	77.880048
948	-24.16002036879999	74.578748
949	-23.837360041599997	75.549684
950	-24.821946513599997	74.551162
951	-27.286515793600003	71.483242
952	-26.292039933600016	74.330642
953	-23.765409591199997	73.681172
954	-24.930993008	71.620368
955	-24.083098772	73.505022
956	-14.608576098399986	74.210722
957	-15.751185921599998	70.848618
958	-23.740075707199985	74.651334
959	-26.348862004799997	73.006254
960	-24.879148349599994	74.649444
