,complex,receptor,ligand,delta
0,-24130.988476719995,-7152.611625840001,-16927.19668552,-51.180165359994135
1,-24016.56198928,-7105.30394328,-16862.05367416,-49.2043718399982
2,-24020.89274568,-7097.813241760001,-16875.54138544,-47.53811847999896
3,-24009.09055688,-7080.3097988,-16886.25475032,-42.52600775999963
4,-24117.90957312,-7129.53020552,-16938.68966856,-49.68969903999823
5,-24010.391054559997,-7098.753292400001,-16871.87130232,-39.76645983999697
6,-24041.08719488,-7090.87407104,-16896.82522648,-53.38789736000399
7,-23990.377561280002,-7119.89634304,-16820.599279839997,-49.88193840000531
8,-24044.345662239994,-7088.369741039999,-16898.5583724,-57.41754879999644
9,-24090.136771039997,-7127.593726159999,-16922.77336264,-39.76968223999938
10,-24003.46975816,-7057.52959008,-16902.64235928,-43.2978088000018
11,-24073.3101888,-7133.15966488,-16898.23643224,-41.91409167999882
12,-23956.046576239998,-7074.22051408,-16834.31275752,-47.51330463999693
13,-24060.1960788,-7095.38279392,-16920.00476488,-44.80851999999868
14,-23951.553191839997,-7075.46687456,-16834.178132560002,-41.908184719995916
15,-24006.400058640003,-7075.771087760001,-16887.63358704,-42.99538384000334
16,-23928.310189599997,-7085.1470670399995,-16803.499702719997,-39.66341984000246
17,-24013.69344808,-7098.388821199999,-16870.122230959998,-45.18239592000464
18,-24010.392882080003,-7095.47588712,-16873.189229519998,-41.727765440005896
19,-23996.89099072,-7093.973182160001,-16871.20489056,-31.712918000001082
20,-23919.52354048,-7056.428716480001,-16822.78494736,-40.30987663999986
21,-24007.374413280002,-7093.31474432,-16887.478962560002,-26.580706400000054
22,-23937.68670664,-7067.13814336,-16820.95029088,-49.598272400002315
23,-23904.13087792,-7071.731481119999,-16792.527534480003,-39.87186232000022
24,-23965.973493040005,-7112.423943440001,-16815.26605984,-38.28348976000416
25,-24018.907728799997,-7084.755132,-16897.524329760003,-36.62826703999599
26,-24054.824970560003,-7107.61650952,-16908.14423192,-39.06422912000198
27,-24017.2804208,-7062.649248080001,-16923.7612372,-30.86993552000058
28,-23965.145998,-7106.516704799999,-16832.90662464,-25.722668559999875
29,-23952.16720784,-7118.60767288,-16815.47237032,-18.087164640000992
30,-24018.6772292,-7107.78201688,-16878.29940448,-32.59580783999991
31,-23983.440197840002,-7112.474953280001,-16834.145898,-36.81934656000158
32,-23937.9024924,-7095.51764712,-16806.73453904,-35.650306240000646
33,-23944.803513120005,-7112.43177128,-16795.281296,-37.09044584000367
34,-23946.384925519997,-7119.6590823199995,-16803.08154728,-23.644295919999422
35,-23793.575388160003,-7036.55061688,-16723.24824632,-33.77652496000519
36,-24055.108302720004,-7105.478414159999,-16914.33186888,-35.29801968000538
37,-23894.169910080003,-7064.156817439999,-16798.97547168,-31.03762096000355
38,-23962.259218000003,-7055.87454976,-16870.0626948,-36.32197344000451
39,-23870.949900639996,-7065.368963279999,-16776.042514319997,-29.538423040001362
40,-23896.735103919997,-7072.852275119999,-16795.1175072,-28.76532159999624
41,-23882.590763039996,-7050.11200432,-16798.85686416,-33.6218945599976
42,-24015.21020216,-7130.46640664,-16858.61342,-26.13037551999878
43,-23866.29361808,-7065.53311072,-16770.825749519998,-29.93475784000111
44,-23966.97148784,-7088.810042799999,-16851.357084240004,-26.804360799997085
45,-23890.53361464,-7077.390426079999,-16784.60822104,-28.534967519997736
46,-23923.322428,-7081.050991600001,-16810.98207848,-31.28935791999902
47,-24005.985579760003,-7090.019240639999,-16889.60672616,-26.359612960004597
48,-23964.539385519998,-7092.75043784,-16833.33388792,-38.45505975999913
49,-23921.806493440003,-7092.75209216,-16800.614665200002,-28.43973607999942
50,-23933.64241336,-7129.637206800001,-16775.74890584,-28.25630072000058
51,-23955.906420960004,-7097.96190584,-16823.010617599997,-34.93389752000803
52,-24016.069078559998,-7094.1547312,-16901.007228,-20.907119359999342
53,-23943.93507144,-7105.73940624,-16807.051681279998,-31.14398392000294
54,-23995.204528719998,-7103.02792976,-16863.31012712,-28.866471839999576
55,-24069.626419919998,-7118.242110880001,-16923.23942944,-28.144879599996784
56,-23984.108510719998,-7117.975402,-16837.04865272,-29.084455999996862
57,-24022.42727344,-7109.368971919999,-16877.82561752,-35.23268400000234
58,-24048.141112240006,-7114.68356824,-16895.298745520002,-38.15879848000259
59,-24041.7173556,-7089.5140691199995,-16916.249642,-35.95364448000328
60,-23969.936369360003,-7108.7389436799995,-16814.626974000003,-46.57045167999968
61,-24107.91858928,-7114.53068712,-16955.05231328,-38.335588879999705
62,-24098.4514588,-7133.42017888,-16930.19449576,-34.836784160001116
63,-24043.616139280002,-7136.231574800001,-16875.217872319998,-32.16669216000446
64,-24033.80394336,-7124.71408536,-16879.378634560002,-29.71122343999741
65,-23988.486834000003,-7115.21060272,-16840.34111608,-32.935115200005384
66,-24057.988747280004,-7128.396783120001,-16885.3500348,-44.24192936000327
67,-23961.44628072,-7060.34340736,-16861.061013519997,-40.04185984000287
68,-23948.266395519997,-7105.19290904,-16809.34555288,-33.727933599995595
69,-24005.7283888,-7088.55178488,-16880.095145040003,-37.0814588799949
70,-23933.25965448,-7084.014459119999,-16811.700786639998,-37.54440872000487
71,-24021.60732648,-7073.8331852,-16913.14657992,-34.627561359997344
72,-23979.82429896,-7103.12324968,-16842.4853204,-34.215728880000825
73,-23979.32959696,-7111.97393456,-16833.73342176,-33.62224064000111
74,-24016.45242192,-7152.808998240001,-16832.42684888,-31.216574799997034
75,-24012.71530888,-7083.67975264,-16891.621231759997,-37.414324480003415
76,-23984.318693919995,-7073.049969199999,-16881.926336,-29.34238871999696
77,-23938.10594568,-7081.6275606399995,-16828.13724952,-28.341135520000535
78,-23958.081740240003,-7111.40030776,-16808.6955984,-37.98583408000195
79,-23981.16586128,-7091.19251336,-16859.325349680003,-30.647998239994195
80,-23948.62287184,-7072.77037736,-16843.77270248,-32.07979200000045
81,-23938.651473120004,-7101.8315312800005,-16805.25516488,-31.564776960003655
82,-23915.538548160002,-7078.35617448,-16797.45565784,-39.726715840002726
83,-23923.60669288,-7071.750466319999,-16812.997985920003,-38.85824063999826
84,-23992.603548000003,-7099.576053999999,-16852.264411440003,-40.76308256000266
85,-24043.725351359997,-7115.390119999999,-16882.78686664,-45.54836471999806
86,-23938.83521024,-7113.52534976,-16791.935013920003,-33.37484655999651
87,-23952.453725440002,-7079.090864399999,-16830.045356799998,-43.31750424000711
88,-23977.28815712,-7080.91183992,-16847.97759088,-48.398726319999696
89,-23895.9572912,-7091.7666521599995,-16773.40055952,-30.79007952000029
90,-23951.800821279998,-7107.43226592,-16800.67256536,-43.69598999999653
91,-23944.740727279997,-7084.1993369599995,-16813.58447808,-46.95691223999893
92,-23958.127794000004,-7056.992474,-16851.84012656,-49.29519344000437
93,-23966.60166072,-7059.83402112,-16872.699636,-34.06800359999761
94,-23986.578286,-7084.954042800001,-16852.28717248,-49.337070720001066
95,-24006.48791088,-7100.76531696,-16858.24726624,-47.47532768000383
96,-24009.056782480002,-7070.201141359999,-16894.11621232,-44.73942879999959
97,-23990.880922239998,-7041.51690864,-16893.73566248,-55.628351119998115
98,-24069.82714552,-7072.9257516,-16946.497390400003,-50.40400351999779
99,-23998.764025279997,-7081.939988,-16872.493292,-44.330745279999974
100,-23988.55093264,-7067.401154879999,-16871.891660880003,-49.258116879995214
101,-23988.2219252,-7065.00631216,-16878.754930239997,-44.46068280000327
102,-24102.50105952,-7111.06945248,-16953.138652480004,-38.29295455999818
103,-24046.499499439997,-7081.09328928,-16936.5620612,-28.844148959997256
104,-23995.56183296,-7078.5902292,-16867.86735496,-49.1042488000021
105,-24041.45956624,-7076.60250928,-16924.4536048,-40.40345215999696
106,-23981.0494012,-7037.373360320001,-16908.23929848,-35.436742400001094
107,-23887.215082720002,-7019.10838176,-16830.20463712,-37.902063839999755
108,-23929.24369296,-7016.76113864,-16879.11679928,-33.365755040002114
109,-24027.35723224,-7073.545298719999,-16916.39334384,-37.41858967999724
110,-24001.306655839995,-7058.792790959999,-16900.194023199998,-42.3198416799969
111,-23995.82150568,-7093.101735120001,-16862.96476928,-39.755001280002034
112,-23936.416157040003,-7024.013077840001,-16879.50360192,-32.8994772799997
113,-23952.921118320002,-7073.18156472,-16848.723395279998,-31.016158320002432
114,-24031.124633760002,-7090.57942568,-16901.646503999997,-38.8987040800057
