,complex,receptor,ligand,delta
112,-23976.19750112,-7013.2797608,-16922.86870344,-40.04903688000195
113,-23930.2761048,-7012.023794479999,-16875.16134736,-43.09096295999916
114,-23991.092986159998,-7066.1489376,-16891.19121824,-33.752830319997884
115,-23917.13937632,-7028.0349816,-16849.72026872,-39.38412600000083
116,-23914.45375136,-7000.628128000001,-16875.869583519998,-37.95603984000263
117,-23904.92155376,-7010.7600094399995,-16865.01826952,-29.143274800000654
118,-23875.31154032,-7005.28947448,-16830.70963256,-39.31243327999982
119,-23866.23133784,-6959.98452136,-16881.183946,-25.06287047999649
120,-23959.180536480002,-7037.0930684,-16885.35719384,-36.73027424000247
121,-23895.35814208,-7011.517533120001,-16845.14017264,-38.700436319999426
122,-23905.385430960003,-6987.262039120001,-16855.676952079997,-62.44643976000589
123,-23893.80122976,-6998.359019199999,-16851.766533600003,-43.67567695999605
124,-23860.370392080004,-7021.218176720001,-16811.984561759997,-27.167653600004996
125,-23924.66831472,-6984.06256296,-16901.78713144,-38.818620319998445
126,-23883.36460552,-6981.0091288,-16865.018402399997,-37.33707432000301
127,-23908.40347848,-6993.81236728,-16864.7547528,-49.83635839999988
128,-23953.537060399998,-6986.38585592,-16921.583915199997,-45.567289279999386
129,-23878.087325600005,-6958.44703168,-16872.02669888,-47.61359504000575
130,-23907.48474776,-6970.82610032,-16886.91732288,-49.741324560003704
131,-23898.86011688,-6991.7726633600005,-16856.2029564,-50.88449712000147
132,-23931.011874,-6995.711312480001,-16887.008974160002,-48.2915873599959
133,-23954.3480788,-6995.079342879999,-16909.58272752,-49.68600840000363
134,-23961.264782719998,-7007.869755520001,-16899.46533672,-53.92969047999577
135,-23900.73485384,-6985.45393176,-16873.186521440002,-42.09440063999864
136,-23826.5119996,-6948.350956560001,-16828.623116,-49.537927040000795
137,-23964.870218959997,-6994.453676,-16921.756213279998,-48.66032967999854
138,-23922.762768160002,-6950.660653839999,-16920.304807919998,-51.79730640000707
139,-23979.22715424,-7013.428409040001,-16916.19262984,-49.60611536000215
140,-23979.60300584,-6991.4525744,-16933.110956880002,-55.03947455999878
141,-23887.59950064,-6960.83953744,-16869.661519120004,-57.098444079998444
142,-23951.05973944,-6991.1853496799995,-16919.52098256,-40.35340720000022
143,-23867.39107552,-6976.85573184,-16847.47256232,-43.06278136000401
144,-23929.163746079998,-6985.969732639999,-16899.614323679998,-43.5796897600012
145,-23896.25211544,-6924.4136312,-16936.718433359998,-35.120050879999326
146,-23882.99846088,-6984.296511759999,-16872.28032152,-26.421627600000647
147,-23925.6088968,-6988.677340799999,-16894.51397624,-42.41757976000008
148,-23926.343693599996,-6994.946635599999,-16887.76062256,-43.636435439995694
149,-23933.24511128,-6997.9509188,-16890.143256,-45.15093648000038
150,-23950.920369040003,-7041.33012472,-16863.75821416,-45.83203016000334
151,-23950.306696559997,-7040.44925328,-16872.259532480002,-37.59791079999559
152,-23998.06878848,-6986.773036480001,-16960.977508639997,-50.31824336000136
153,-23947.40586672,-6978.5498924,-16930.09854496,-38.75742935999733
154,-23922.186527600003,-6948.978096,-16935.74978808,-37.458643520003534
155,-23995.426216959997,-7018.817666400001,-16938.95732488,-37.65122567999424
156,-23977.479148000002,-7030.1771248,-16903.85147432,-43.450548880002316
157,-24001.05680288,-7010.44642456,-16952.411329759998,-38.199048560003575
158,-23975.564364719998,-7001.942415359999,-16921.959683279998,-51.66226607999852
159,-23941.15706208,-6984.41419536,-16903.028771280002,-53.714095439998346
160,-23966.27896696,-7005.84600312,-16905.8303656,-54.60259823999877
161,-23892.3128612,-6978.7913499999995,-16862.68609984,-50.83541135999985
162,-23932.85176208,-7006.27935112,-16870.333815759997,-56.238595200004056
163,-23890.87088256,-6994.10058928,-16840.35332656,-56.416966720000346
164,-23853.81987,-7016.99606776,-16786.4346984,-50.389103839999734
165,-23952.13291592,-7039.9349336800005,-16858.86150824,-53.336473999999725
166,-23955.233647440004,-6999.84863704,-16901.764565039997,-53.62044536000758
167,-24029.72527432,-6999.7980766400005,-16975.841113680002,-54.086083999998664
168,-23963.81150416,-7001.78968664,-16912.99218008,-49.02963743999862
169,-23995.387332799997,-7035.4806188,-16910.67974864,-49.22696535999785
170,-23991.704687759997,-7061.11678104,-16884.72021664,-45.86769007999828
171,-24014.851846879996,-7065.69022128,-16898.98038792,-50.1812376799935
172,-23980.280997600003,-7022.128101040001,-16904.74844648,-53.40445008000097
173,-23891.1565884,-6970.763908079999,-16877.05568576,-43.336994560002495
174,-23964.042731439997,-7014.38210824,-16900.863110799997,-48.797512400000414
175,-23924.56128384,-7022.8853017599995,-16842.99837344,-58.67760864000229
176,-23947.85979352,-7029.68852056,-16863.35273288,-54.818540079999366
177,-23923.03602216,-6994.7556298399995,-16866.03635848,-62.24403383999743
178,-23884.673079520002,-7033.5447176,-16804.197202,-46.931159920004575
179,-23905.901127920002,-7004.1131184000005,-16842.79896272,-58.98904680000123
180,-24024.558308480002,-7027.06030896,-16936.64051776,-60.857481760001974
181,-23952.32263688,-6984.97900016,-16929.8097968,-37.53383991999726
182,-23991.4016404,-6995.21883616,-16949.39574904,-46.787055200002214
183,-23953.907240559998,-7023.1402164,-16881.11264912,-49.65437503999783
184,-23868.51571728,-6983.61107032,-16844.942989119998,-39.96165784000186
185,-23951.080050879995,-7002.1868263999995,-16903.90851912,-44.98470535999513
186,-24027.76648032,-7001.030508079999,-16996.779546399997,-29.95642584000234
187,-23937.191724160002,-6999.83498152,-16897.512445520002,-39.84429711999837
188,-23940.858236879998,-6990.477872320001,-16907.35554952,-43.02481503999661
189,-23914.983958880002,-7029.679726400001,-16826.709248,-58.594984480001585
190,-23905.58978752,-6994.100699999999,-16867.71186096,-43.77722655999969
