,complex,receptor,ligand,delta
80,-23844.257071840002,-6993.79177736,-16831.13070248,-19.334591999999247
81,-23834.371973120004,-7024.50853128,-16791.05376488,-18.809676960005163
82,-23805.361548160003,-7005.21427448,-16774.49455784,-25.6527158400022
83,-23801.50409288,-6990.907866319999,-16785.812385920002,-24.783840640000562
84,-23894.451548,-7025.245954,-16839.05471144,-30.150882559999445
85,-23936.17085136,-7040.364319999999,-16865.52516664,-30.281364719998237
86,-23822.05351024,-7028.4726497599995,-16773.46301392,-20.117846559998725
87,-23843.92162544,-6997.0474644,-16819.7042568,-27.169904240003234
88,-23863.41775712,-7003.88893992,-16826.92159088,-32.607226320000336
89,-23782.6397912,-7011.5382521599995,-16755.19535952,-15.906179519999569
90,-23830.85622128,-7022.76576592,-16782.974965359997,-25.115490000000136
91,-23841.889627279998,-7007.87653696,-16801.200478079998,-32.812612239999
92,-23869.141594,-6985.303374,-16848.04552656,-35.79269344000204
93,-23863.41606072,-6986.17832112,-16857.546636000003,-19.691103599998314
94,-23887.873986000002,-7007.7792428,-16845.60497248,-34.489770720003435
95,-23897.07101088,-7023.06881696,-16841.38666624,-32.61552768000183
96,-23904.32308248,-6995.03624136,-16879.07041232,-30.216428800002177
97,-23878.606722239998,-6963.164508639999,-16873.56046248,-41.881751119999535
98,-23956.641045520002,-6995.9524516,-16926.148190400003,-34.5404035199972
99,-23894.36572528,-7010.289588,-16853.441992,-30.634145280000666
100,-23876.932232639996,-6985.822654879999,-16857.318660880002,-33.79091687999244
101,-23888.9471252,-6988.5202121600005,-16867.074030239997,-33.35288280000168
102,-23998.04305952,-7032.599952480001,-16941.053552480003,-24.389554559995304
103,-23930.593199439998,-7000.4895892800005,-16913.4338612,-16.669748959997378
104,-23889.27003296,-6998.6208292,-16854.15825496,-36.490948800001206
105,-23951.931166239996,-7015.20960928,-16908.188704800003,-28.532852159991307
106,-23879.3696012,-6961.44056032,-16890.944698479998,-26.984342400002788
107,-23776.93478272,-6935.27968176,-16815.95063712,-25.704463840000244
108,-23803.03859296,-6927.9032386399995,-16855.24789928,-19.88745504000326
109,-23906.768832240003,-6992.936698719999,-16888.10164384,-25.730489680001483
110,-23893.147955839995,-6975.97429096,-16886.591823199997,-30.581841679999343
111,-23879.79470568,-7006.28833512,-16848.459769279998,-25.046601280002506
112,-23816.678557040002,-6941.59507784,-16853.71410192,-21.36937728000339
113,-23840.092918320002,-6989.0090647199995,-16833.189295279997,-17.89455832000749
114,-23907.613433760005,-7007.20322568,-16876.167203999998,-24.243004080006358
115,-23927.591158080002,-7003.99877696,-16887.585185760003,-36.00719535999815
116,-23811.30601424,-6999.4713772800005,-16786.04298208,-25.791654879998532
117,-23794.3194512,-6962.879024,-16811.58109616,-19.859331039999233
118,-23816.392456319998,-6957.2889836800005,-16834.80747112,-24.296001520000573
119,-23795.74048536,-6971.09133472,-16805.206662959998,-19.44248768000034
120,-23941.94684016,-7024.27802752,-16899.28486848,-18.383944159995735
121,-23916.674991919997,-7000.50579832,-16887.30193632,-28.8672572799951
122,-23888.234528,-6990.88296376,-16863.258846800003,-34.09271743999852
123,-23911.811685120003,-7020.17021408,-16866.76406384,-24.87740720000147
124,-23883.372856,-7021.725416880001,-16831.82216048,-29.8252786400044
125,-23841.321032319996,-6951.26353136,-16858.850583919997,-31.206917039999098
126,-23895.17764472,-7012.88317088,-16855.07102224,-27.223451599998953
127,-23793.892249840002,-6990.10075816,-16773.55011416,-30.24137752000388
128,-23954.8942668,-7040.101513680001,-16888.240773999998,-26.551979120002215
129,-23966.041072879998,-7010.815074640001,-16919.919592000002,-35.30640623999352
130,-23904.49776192,-7021.587421280001,-16860.58240536,-22.3279352799982
131,-23952.6679844,-6986.45998,-16922.660237199998,-43.547767200001545
