,complex,receptor,ligand,delta
67,-24134.3118696,-7072.00626872,-17000.05260376,-62.25299711999833
68,-24108.208989920004,-7100.41406208,-16952.98501432,-54.809913520006376
69,-24155.816290320003,-7077.55274224,-17021.802507520002,-56.461040559999674
70,-24131.197017519997,-7074.256459359999,-17006.11096504,-50.8295931199973
71,-23989.373870159998,-7018.69567432,-16916.25360376,-54.42459207999855
72,-24074.29419624,-7102.7644176,-16929.24740904,-42.2823696000014
73,-24111.864859759997,-7049.49219792,-17008.79462128,-53.578040559994406
74,-24071.483929200003,-7095.271873040001,-16923.02951248,-53.18254368000271
75,-24087.7105184,-7068.445408239999,-16966.75192648,-52.51318368000284
76,-24049.329003920004,-7029.470000480001,-16974.05562008,-45.80338336000568
77,-24068.06259992,-7050.276458639999,-16961.01336416,-56.77277712000068
78,-24080.41192728,-7042.11025248,-16996.852821440003,-41.448853359997884
79,-24050.77710376,-7032.6864764,-16966.52516296,-51.565464399998746
80,-24096.068319999995,-7033.531729359999,-17013.58638488,-48.95020575999661
81,-24118.61442784,-7036.8792656,-17026.729369200002,-55.005793039996206
82,-24140.149821359995,-7032.2070852,-17050.02116488,-57.92157127999599
83,-24086.7122972,-7078.60969104,-16951.9659192,-56.13668695999877
84,-24072.243033839997,-7035.522841519999,-16980.7597308,-55.9604615199969
85,-24111.139697360002,-7049.854910079999,-17020.19826584,-41.08652144000007
86,-24107.406293840002,-7044.58683088,-17019.76928112,-43.05018184000073
87,-24228.29621936,-7091.270608480001,-17090.590990400004,-46.43462047999492
88,-24060.62990696,-7049.1554720799995,-16956.01970168,-55.45473320000019
89,-24146.71152832,-7096.486341840001,-16998.24525704,-51.97992943999998
90,-24087.87539552,-7075.383063679999,-16966.75692584,-45.735405999999784
91,-24059.52214376,-7062.547843600001,-16945.470630880005,-51.50366927999494
92,-23993.32002288,-7075.452302400001,-16874.98223712,-42.88548336000167
93,-23959.76624904,-7039.78701672,-16875.927210960002,-44.052021359999344
94,-23949.75524528,-7025.80931344,-16874.77047304,-49.17545880000034
95,-24049.679630960003,-7042.987734480001,-16960.46338528,-46.228511200002686
96,-24065.441329279998,-7036.739418239999,-16989.88871504,-38.81319599999915
97,-24074.166093359996,-7080.280866159999,-16949.66022424,-44.225002959996345
98,-24087.87449432,-7038.95612496,-16988.65391592,-60.26445343999876
99,-24121.459508959997,-7084.1776072,-16987.677828720003,-49.604073039994546
100,-24136.086204319996,-7053.68730168,-17027.67057072,-54.72833191999234
101,-24063.28150184,-7044.83878856,-16979.778664560003,-38.66404871999839
102,-24080.965450320004,-7063.10010824,-16960.126166160004,-57.73917591999998
103,-24082.081127280002,-7077.165801279999,-16952.97997112,-51.935354880002706
104,-24076.385646320003,-7065.768126160001,-16969.66762048,-40.949899680003
105,-24073.37393592,-7068.247630559999,-16953.12790616,-51.998399200001586
106,-24080.8467292,-7072.964800400001,-16964.74955088,-43.13237791999927
107,-24001.47537672,-7073.29705192,-16892.79434456,-35.38398024000344
108,-24076.422286639998,-7055.99060592,-16977.495886079996,-42.935794640001404
109,-24082.10654352,-7062.789974799999,-16974.0231516,-45.29341712000314
110,-24112.46987032,-7080.2631064,-16992.211221200003,-39.99554272000023
111,-24094.59261368,-7112.668098959999,-16948.453456479998,-33.47105824000391
