,complex,receptor,ligand,delta
80,-24006.059764160003,-7073.413684720001,-16889.02678632,-43.61929312000575
81,-24055.066535280002,-7091.00494872,-16931.87387016,-32.18771639999977
82,-24023.109259759996,-7110.26807768,-16880.783305359997,-32.0578767199986
83,-24005.69818544,-7026.535844080001,-16940.4264412,-38.73590015999798
84,-24073.04337736,-7117.8808936,-16917.82566224,-37.33682152000256
85,-24010.925622159997,-7034.94982584,-16939.892321440002,-36.083474879993446
86,-24121.982036,-7080.715973439999,-16991.42091904,-49.84514352000406
87,-24013.180783840002,-7086.09026384,-16888.23870848,-38.85181152000223
88,-24001.61122928,-7061.5125332,-16900.938170399997,-39.16052568000305
89,-24032.83943568,-7070.0771712000005,-16925.790648640002,-36.971615840000595
90,-23992.589724159996,-7032.48094424,-16912.07974504,-48.0290348799972
91,-24008.045477760003,-7048.25769768,-16922.96039832,-36.82738176000203
92,-24022.6742952,-7086.881139040001,-16904.93139744,-30.86175871999876
93,-23978.940694719997,-7067.20650048,-16877.05257056,-34.68162367999685
94,-24053.53868104,-7117.871267439999,-16897.34953584,-38.317877760004194
95,-24010.00298312,-7097.28871864,-16866.83784976,-45.876414720001776
96,-24127.357967440003,-7074.46037016,-17012.54602312,-40.3515741600022
97,-24033.135341520003,-7095.892374,-16893.1439028,-44.09906472000512
98,-23960.210055360003,-7073.2104028,-16845.21121184,-41.788440720003564
99,-24038.611854560004,-7066.87080176,-16941.68779552,-30.05325728000389
100,-24103.686772480003,-7092.2717888,-16971.81704736,-39.59793632000219
101,-23996.34318496,-7054.01208472,-16902.07184664,-40.259253599997464
102,-24039.37300768,-7050.460808000001,-16951.307149120003,-37.605050559996016
103,-24137.106962320002,-7101.068637760001,-16991.124119199998,-44.91420536000078
104,-24035.97006792,-7038.30634984,-16963.84999992,-33.81371815999955
105,-24035.856910480004,-7069.36026464,-16925.852800160003,-40.643845680002414
106,-23974.919223680005,-7046.4728951199995,-16890.53331136,-37.913017200004106
107,-24013.09968176,-7088.09869608,-16891.733988000004,-33.26699767999526
108,-24016.88709264,-7092.7699909600005,-16881.51099072,-42.60611096000139
109,-24040.60151544,-7066.65334832,-16945.427981999997,-28.52018512000359
110,-24052.570722959998,-7057.37102936,-16963.20176904,-31.997924560000683
111,-24034.185441280002,-7059.051867360001,-16950.34491024,-24.788663679999445
112,-24014.273679119997,-7102.3882871999995,-16882.56716224,-29.318229679996875
113,-24156.084368,-7147.0347768,-16961.76333248,-47.28625871999975
114,-24011.79630624,-7114.28682496,-16864.62681368,-32.882667600002605
115,-24018.494458079997,-7130.61966904,-16846.4192564,-41.45553263999682
116,-24084.7898544,-7152.5603210399995,-16900.87731672,-31.352216639999824
117,-24065.997677759995,-7082.17572984,-16943.394227599998,-40.4277203199963
118,-24034.82547448,-7103.4101085600005,-16909.45466856,-21.96069735999845
119,-24079.609257039996,-7137.3624344,-16903.22459304,-39.022229599995626
120,-24090.38653104,-7132.32724872,-16927.3728092,-30.6864731200003
121,-24031.747428799998,-7108.76935176,-16897.828689039998,-25.149388000001636
122,-24090.718456559996,-7109.09534592,-16951.173658639997,-30.449452000000747
123,-24079.75367184,-7172.185891280001,-16875.620038560002,-31.94774199999665
124,-24022.772403919997,-7107.24149488,-16879.18635528,-36.344553759998234
125,-24083.56172568,-7117.8519108,-16930.76459464,-34.94522023999889
126,-23986.274650800002,-7081.01952256,-16875.76923056,-29.48589768000238
127,-24077.24614368,-7117.6512268,-16931.42916048,-28.165756400001555
128,-24036.6821816,-7098.9244336,-16898.5819392,-39.17580879999878
129,-24093.195592,-7094.02857288,-16952.56162136,-46.605397759998596
130,-24056.5992016,-7060.76838168,-16964.897317920004,-30.933501999996224
131,-24047.34296944,-7062.331818719999,-16942.65159536,-42.35955536000256
132,-24015.07815296,-7081.61120656,-16893.64785632,-39.819090080000024
133,-23980.854449840004,-7061.27904456,-16880.24682208,-39.32858320000378
134,-23990.57953016,-7072.42958896,-16884.93473696,-33.215204240001185
135,-24114.311024879997,-7081.4507704,-17002.429869280004,-30.430385199993907
136,-24093.234005839997,-7088.08795568,-16971.918339120002,-33.227711039995484
137,-24061.751462800003,-7102.70018328,-16912.24559104,-46.80568848000621
138,-24077.928675919997,-7097.833217519999,-16940.98538976,-39.110068639995006
139,-24063.5506584,-7094.485835760001,-16932.2630572,-36.801765439999144
