,complex,receptor,ligand,delta
126,-23825.4926268,-6989.594689840001,-16781.2509612,-54.64697576000253
127,-23813.15814072,-7019.9499096,-16748.55790072,-44.6503303999998
128,-23901.91361776,-6981.222701999999,-16864.097317120002,-56.59359863999998
129,-23896.58522056,-7011.11196664,-16828.8020188,-56.67123511999671
130,-23931.345013600003,-7024.290570079999,-16865.90507,-41.14937352000197
131,-23945.53323544,-7030.54967528,-16866.93995272,-48.04360744000223
132,-23908.76767832,-7050.9751892799995,-16804.533144,-53.25934504000179
133,-23899.70233328,-6986.897620240001,-16863.085235919996,-49.71947712000474
134,-23869.58352768,-6994.1251284,-16821.3858288,-54.07257047999883
135,-23890.677831599998,-7012.67890496,-16833.718579359997,-44.28034728000057
136,-23894.365879279998,-6979.28837416,-16866.2451232,-48.83238192000135
137,-23786.67891608,-6970.093951999999,-16773.16337216,-43.42159191999963
138,-23853.168526,-6993.0023248,-16825.8548592,-34.31134200000088
139,-23788.1101508,-6961.332004880001,-16792.45454344,-34.323602479998954
140,-23843.103979760002,-7004.645569040001,-16800.616856719997,-37.841554000006
141,-23822.25037536,-6963.97828776,-16815.92578328,-42.346304319999035
142,-23822.5791696,-6944.720655520001,-16832.608059680002,-45.25045439999667
143,-23925.11800552,-7035.9137749599995,-16838.82212,-50.38211055999636
144,-23866.44091648,-7017.96459336,-16797.8610788,-50.615244320000784
145,-23910.589535919997,-7002.9599775199995,-16844.38495816,-63.244600239995634
146,-23847.52515,-7013.6838108,-16781.72197832,-52.11936087999857
147,-23888.89367704,-7032.400885599999,-16811.051374,-45.441417440000805
148,-23938.488410800004,-7055.58042888,-16838.74969736,-44.158284560005995
149,-23885.19005568,-7034.41143976,-16820.0865056,-30.69211032000021
150,-23905.93182256,-7004.2473704,-16866.603561360003,-35.08089079999627
151,-23919.453451439997,-7018.376126719999,-16869.80506952,-31.272255199997744
152,-23854.59627088,-6967.314738880001,-16845.886834399997,-41.394697600000654
153,-23965.67351392,-7004.7797772799995,-16928.29410392,-32.59963271999732
154,-23845.98027304,-6941.58506056,-16869.017083119998,-35.378129360004095
155,-23839.25961936,-6988.453225439999,-16810.010840720002,-40.79555319999781
156,-23967.007210080003,-7018.59167112,-16914.12527512,-34.29026384000099
157,-23977.550399440002,-7018.521905280001,-16917.30184904,-41.726645120001194
158,-23804.08635624,-6990.211676960001,-16780.57781848,-33.296860800001014
159,-23869.882305920004,-7007.768905680001,-16841.801746560002,-20.311653680000745
160,-23868.327325120004,-7020.2494076,-16831.526238000002,-16.551679520001926
161,-23773.537408959997,-6975.12969736,-16778.765564800004,-19.642146799993498
162,-23826.6388828,-6997.22055744,-16796.62628224,-32.792043120003655
163,-23845.164426479998,-6988.4356752799995,-16837.157012800002,-19.5717383999945
164,-23878.165822159997,-7034.41986,-16828.12929344,-15.616668719998415
165,-23845.99154904,-7013.616093599999,-16803.26571584,-29.109739600004104
166,-23889.973796399998,-7033.34846264,-16829.145346880003,-27.479986879992794
167,-23886.031137439997,-6985.09102368,-16864.23838296,-36.70173079999586
168,-23745.795737440003,-6928.877637279999,-16763.02886288,-53.88923728000373
169,-23816.92487176,-6982.58986616,-16790.38399312,-43.95101247999992
170,-23864.917790159998,-6988.0159678400005,-16836.59371048,-40.308111839996855
171,-23722.99321384,-6937.83997832,-16749.237340559997,-35.91589496000233
172,-23818.14871256,-6989.056787120001,-16790.24270032,-38.84922512000048
173,-23873.7540932,-7025.65139864,-16801.73640128,-46.36629328000345
174,-23816.82103576,-6979.57470696,-16786.4190468,-50.82728199999838
175,-23810.047201199995,-6966.37120048,-16799.737873039998,-43.938127679997706
176,-23780.732962800004,-6969.787234960001,-16781.269480640003,-29.676247200000944
177,-23761.2224076,-6958.13976312,-16762.393199359998,-40.68944511999871
178,-23951.88695352,-6989.73510688,-16925.93622856,-36.21561808000115
179,-23865.51604216,-6968.68222608,-16859.35693544,-37.47688064000249
180,-23835.93411944,-6972.66644992,-16827.23800944,-36.02966008000294
181,-23833.13965776,-6963.5967107199995,-16820.88442816,-48.658518879998155
182,-23869.63546088,-7004.136083519999,-16820.31570112,-45.18367624000166
183,-23816.68058776,-7015.94643024,-16777.94384872,-22.790308800002094
184,-23800.715381280002,-6974.53419872,-16784.33121864,-41.849963920001755
185,-23848.215078,-6994.89374616,-16805.58490992,-47.73642192000261
186,-23822.82695056,-7034.7536644,-16752.103128400002,-35.97015775999898
187,-23898.84638392,-7047.6596496,-16805.51136904,-45.67536527999982
188,-23893.18905208,-7021.71039136,-16814.24192432,-57.23673640000197
189,-23874.10952808,-6989.34764008,-16829.09600832,-55.66587968000022
190,-23863.74755208,-7000.498823360001,-16815.38967336,-47.859055359997
191,-23903.868982879998,-7003.05953032,-16855.3852524,-45.4242001599996
192,-23959.502518240002,-7026.20895096,-16885.51722272,-47.776344560003054
193,-23840.42164024,-6949.40029872,-16844.92141112,-46.09993039999972
194,-23998.11927856,-7014.49433224,-16932.689414559998,-50.93553176000205
195,-23946.50521264,-6999.260366240001,-16888.98449656,-58.26034984000216
196,-23849.56604968,-6963.71902768,-16837.465347280002,-48.381674719999864
197,-23987.765307439997,-7004.261869839999,-16927.372586799996,-56.13085080000019
198,-23931.218316959996,-7034.28865032,-16862.71459024,-34.21507639999618
199,-23853.270573679998,-6942.709813039999,-16857.60528712,-52.95547351999994
200,-23885.660988239997,-6978.537151439999,-16844.227085280003,-62.89675151999472
201,-23955.25873008,-6988.9821248,-16907.064945359998,-59.21165992000169
202,-23943.454713680003,-7008.18597392,-16879.56595304,-55.70278672000131
203,-23907.60021544,-6989.1533072,-16854.69395888,-63.75294935999773
204,-23832.439782399997,-6998.57566296,-16785.236932,-48.627187439997215
205,-23899.181123200004,-7016.43271632,-16820.15309896,-62.595307920004416
206,-23847.176663119997,-7010.0723398400005,-16784.64514104,-52.45918223999615
207,-23880.37199296,-6998.830468319999,-16825.7458972,-55.795627440002136
208,-23946.478460239996,-7026.29426848,-16870.926608960002,-49.25758279999354
209,-23939.346845519998,-7070.62439256,-16820.23906208,-48.483390879999206
210,-23953.68751472,-7040.6078122399995,-16864.411041999996,-48.6686604800052
211,-23849.359212080006,-6994.46618304,-16826.23158344,-28.661445600006118
212,-23879.14543712,-7021.044844,-16817.45124304,-40.64935008000248
213,-23872.08514168,-6998.3346083199995,-16813.0016428,-60.74889055999665
214,-23816.283779199995,-6972.48286976,-16807.9386288,-35.86228063999806
215,-23914.499650160004,-6983.69258656,-16879.7685172,-51.03854640000645
216,-23847.441019679998,-6977.15878536,-16826.76352304,-43.51871127999766
217,-23893.511536879996,-7005.984469519999,-16838.9974372,-48.52963015999558
218,-23826.50746304,-6987.90411872,-16792.17511928,-46.42822504000287
219,-23833.33145088,-6986.74135416,-16795.356582399996,-51.23351432000345
220,-23851.07009528,-6989.30904088,-16813.3229832,-48.438071200002014
221,-23850.8519096,-7005.8320748,-16802.84377744,-42.176057360000414
222,-23905.981659120003,-6997.29194096,-16851.80135048,-56.888367680003284
223,-23827.06407528,-7035.538284800001,-16722.140861199998,-69.3849292800005
224,-23922.09807128,-7023.85296256,-16835.462530480003,-62.78257823999593
225,-23823.79242448,-6976.8471271200015,-16789.09434544,-57.850951920001535
226,-23869.83975336,-7000.8023885600005,-16819.93369656,-49.103668239997205
227,-23843.71818704,-6986.890308,-16796.76955968,-60.058319360003225
228,-23831.359728,-7027.67942048,-16758.324406,-45.35590152000077
229,-23883.32511736,-7006.32519416,-16832.74334472,-44.256578480002645
230,-23845.97355192,-7016.047561920001,-16786.108788240002,-43.81720175999726
231,-23808.82981768,-6963.18527944,-16797.23084256,-48.413695680003
232,-23817.904125520006,-7017.880290239999,-16739.571776480003,-60.452058800005034
233,-23853.56990744,-7000.93435688,-16795.20330008,-57.43225048000022
234,-23875.4700012,-7007.68061728,-16796.284151599997,-71.50523232000342
235,-23826.499944080002,-6997.309174559999,-16790.269238240002,-38.921531280000636
236,-23776.570797919998,-6950.525459760001,-16773.67927064,-52.36606751999716
237,-23872.17013176,-7010.36943816,-16813.13492232,-48.66577127999699
238,-23839.26151136,-6985.098742720001,-16801.918880160003,-52.2438884799958
239,-23816.51859512,-6953.56113488,-16821.88128256,-41.07617767999909
240,-23846.382012079997,-6985.92824248,-16806.9183492,-53.53542039999593
241,-23723.228219679997,-6957.43535472,-16711.07745864,-54.715406319995964
242,-23791.27702632,-6913.6547796800005,-16841.3267624,-36.295484239999496
