,complex,receptor,ligand,delta
0,-23875.181538959998,-6945.9459903199995,-16884.17990912,-45.055639519996475
1,-23874.526209919997,-6932.568815680001,-16887.93901712,-54.01837711999542
2,-23887.737606159997,-6932.103840239999,-16906.4003488,-49.233417119994556
3,-23912.187636320003,-6936.71165184,-16929.91077552,-45.565208960004384
4,-23849.58784536,-6932.03046272,-16866.695265600003,-50.86211704000016
5,-23825.256896640003,-6874.54126496,-16896.429285439997,-54.286346240005514
6,-23789.46770392,-6886.23124008,-16854.78814528,-48.44831856000019
7,-23832.06195328,-6900.98462536,-16871.102029600002,-59.97529831999782
8,-23861.974249760002,-6919.820177680001,-16881.58131048,-60.572761600000376
9,-23842.757309280005,-6927.642837040001,-16859.403336400002,-55.71113584000341
10,-23897.07810824,-6928.58176208,-16906.84927768,-61.64706847999696
11,-23860.64164048,-6918.40921168,-16878.1971132,-64.03531560000192
12,-23870.446526,-6938.45874032,-16888.921574559998,-43.066211119999934
13,-23854.261884400003,-6932.03974896,-16873.69793728,-48.524198160001106
14,-23821.966132400004,-6875.8725836,-16876.635642880003,-69.45790592000048
15,-23928.748260000004,-6943.60559584,-16919.576923840003,-65.56574032000208
16,-23843.669746159994,-6911.096166000001,-16868.105215599997,-64.46836455999801
17,-23904.413607039998,-6933.2212475999995,-16904.102119760002,-67.09023967999747
18,-23780.940543679997,-6913.728712159999,-16801.39598168,-65.8158498399971
19,-23848.976017520003,-6936.71641808,-16850.86263448,-61.39696496000397
20,-23945.357541519996,-6965.293321280001,-16929.69330856,-50.370911679994606
21,-23868.88367752,-6921.28102312,-16891.02293832,-56.57971608000298
22,-23846.08708456,-6955.486340240001,-16842.73245768,-47.868286640001315
23,-23886.168061119995,-6929.440830160001,-16909.55161528,-47.175615679992916
24,-23799.7400196,-6926.86301816,-16815.075850160003,-57.80115128000034
25,-23851.102295679997,-6939.8702276,-16866.51117168,-44.72089639999831
26,-23847.95501784,-6900.633514079999,-16884.28508496,-63.0364187999985
27,-23889.57414248,-6939.064890719999,-16899.038991920002,-51.47025983999629
28,-23836.18455888,-6955.196228239999,-16816.63924656,-64.34908408000047
29,-23859.8184964,-6930.960803200001,-16869.87388064,-58.98381255999993
30,-23825.075586,-6920.0974268,-16844.072661039998,-60.905498160002026
31,-23797.15852728,-6915.354227680001,-16831.48463552,-50.31966408000153
32,-23852.754818,-6892.75725136,-16896.74357632,-63.25399032000132
33,-23895.291056560003,-6926.08572016,-16913.31407152,-55.89126488000329
34,-23819.425386720002,-6909.239247279999,-16858.0298592,-52.15628024000398
35,-23813.85908544,-6912.03161944,-16840.0285188,-61.7989471999972
36,-23774.65731448,-6896.20590872,-16816.14324672,-62.30815903999974
37,-23882.480885040004,-6950.199665439999,-16891.250002959998,-41.03121664000719
38,-23976.705939039995,-6968.65719016,-16968.39762656,-39.65112231999592
39,-23917.549013120002,-6909.4951276,-16967.765650399997,-40.28823512000599
40,-23798.174638239998,-6894.569874960001,-16859.97953904,-43.625224239996896
41,-23799.417040959997,-6894.304603920001,-16865.16030816,-39.95212887999514
42,-23834.34016056,-6891.45914552,-16898.8982676,-43.98274744000082
43,-23892.169637120005,-6953.959333520001,-16886.46258136,-51.747722240004805
44,-23857.96409992,-6900.841265279999,-16908.18243976,-48.940394879999076
45,-23876.27325416,-6929.9565290400005,-16896.2980108,-50.01871431999825
46,-23892.296679519997,-6921.623390640001,-16930.10035776,-40.57293111999752
47,-23861.92052816,-6928.6696816,-16885.867765439998,-47.383081120002316
48,-23814.5181208,-6908.5113844,-16847.79718936,-58.20954703999814
49,-23817.63115624,-6885.439688319999,-16883.505274,-48.68619392000255
50,-23760.36148992,-6913.60413216,-16794.7172012,-52.04015656000047
51,-23829.78729344,-6927.6169155200005,-16864.06341816,-38.10695975999988
52,-23912.78455824,-6951.68218232,-16925.2962276,-35.80614831999992
53,-23868.300662,-6924.9774104,-16906.793179760003,-36.53007183999944
54,-23849.894307040002,-6873.5461772,-16936.67407032,-39.67405951999899
55,-23779.56141232,-6876.270591760001,-16866.83459064,-36.456229920000624
56,-23899.394438799998,-6886.11280104,-16976.545737520002,-36.735900239997136
57,-23899.986467759998,-6913.111169440001,-16940.00414152,-46.87115679999988
58,-23847.760780959998,-6904.08348896,-16894.88421832,-48.79307367999718
59,-23752.51437584,-6915.9953484,-16796.70733608,-39.81169136000244
60,-23841.46861632,-6922.6680857599995,-16881.867122000003,-36.93340855999486
61,-23729.6910904,-6907.669076639999,-16803.17139824,-18.850615520001156
62,-23856.878797359997,-6920.63257936,-16899.152275599998,-37.09394239999892
63,-23782.41274936,-6929.67750088,-16813.56401952,-39.17122896000001
64,-23762.36415136,-6898.37008392,-16833.95402,-30.040047440001217
65,-23774.81280016,-6892.664541519999,-16851.641576719998,-30.506681920003757
66,-23736.54495,-6877.0606616000005,-16829.44252368,-30.041764719997445
67,-23776.20134256,-6898.903340239999,-16852.90181872,-24.396183600001677
68,-23808.518405119998,-6891.62345928,-16885.51449032,-31.380455519996758
69,-23844.410642320003,-6912.022788080001,-16905.529268,-26.858586240003206
70,-23780.18198624,-6915.63887736,-16829.577757040002,-34.96535183999731
71,-23840.79777672,-6903.241043999999,-16889.54728224,-48.00945047999994
72,-23857.690602479997,-6925.508202,-16879.786201120005,-52.39619935999144
73,-23832.82028112,-6914.759514239999,-16876.674744480002,-41.38602239999818
74,-23799.761408479997,-6896.4675948799995,-16862.702526079996,-40.59128752000106
75,-23809.470051040003,-6867.76973704,-16899.8367408,-41.863573200000246
76,-23811.54898912,-6893.676435439999,-16884.06018072,-33.812372960001085
77,-23834.31340576,-6881.8712688000005,-16914.87339344,-37.56874351999795
78,-23774.240133279996,-6889.341880079999,-16850.482395360003,-34.415857839994715
79,-23840.9563804,-6883.71686544,-16908.01645296,-49.2230619999973
80,-23770.80644832,-6854.940960160001,-16877.07105552,-38.794432639999286
81,-23838.0827452,-6888.4261428,-16903.188212319998,-46.46839008000461
82,-23801.15343,-6913.42943896,-16839.12978008,-48.594210960000055
83,-23792.06535608,-6895.94343576,-16846.668462799997,-49.45345752000139
84,-23805.59925208,-6867.40910472,-16894.13514688,-44.05500048000249
85,-23906.27405728,-6936.30573584,-16919.9152488,-50.0530726399993
86,-23831.81414432,-6878.738988880001,-16893.86650824,-59.208647200000996
87,-23915.11130288,-6912.07883456,-16935.568074079998,-67.46439423999982
88,-23815.97756424,-6945.07291248,-16818.58838136,-52.316270400002395
89,-23809.278915760002,-6917.477862560001,-16835.623846960003,-56.17720623999776
90,-23866.775688960002,-6913.6605632,-16903.11251696,-50.002608800001326
91,-23903.93165816,-6940.98531,-16908.7800684,-54.16627976000018
92,-23819.41811536,-6904.16490664,-16866.69666496,-48.55654376000166
93,-23855.412787679998,-6917.3854096,-16882.78722744,-55.24015063999832
94,-23839.34548192,-6940.47853304,-16856.11888952,-42.74805936000121
95,-23855.10736984,-6942.9900696800005,-16861.98431952,-50.132980639999005
96,-23916.8865428,-6931.08214992,-16933.210881040002,-52.59351183999752
97,-23942.68201184,-6941.16997648,-16943.61664648,-57.89538887999879
98,-23762.69658,-6879.95565504,-16828.16449888,-54.57642607999878
99,-23808.500063120002,-6928.84167744,-16822.29214104,-57.36624464000124
100,-23808.12730344,-6897.46485208,-16855.67958856,-54.982862799999566
101,-23852.08205184,-6887.456927599999,-16910.14211144,-54.483012799999415
102,-23862.18649128,-6895.08344136,-16914.41981376,-52.68323616000271
103,-23808.848729359997,-6882.307056080001,-16880.99441136,-45.547261919997254
104,-23670.7005368,-6864.2564829600005,-16763.29019704,-43.15385679999599
105,-23789.559151280002,-6870.88239304,-16876.61065824,-42.066100000003644
106,-23749.67458968,-6877.62703792,-16837.21388616,-34.83366559999922
107,-23741.019098560002,-6864.104581840001,-16829.44335256,-47.471164160000626
