,complex,receptor,ligand,delta
36,-23875.09191008,-6944.906423840001,-16873.03774752,-57.14773871999569
37,-23862.3555764,-6928.437077599999,-16878.457585120002,-55.46091367999907
38,-23867.70426768,-6940.6766833599995,-16872.19960696,-54.8279773600043
39,-23934.38881248,-6957.594301519999,-16910.16930696,-66.62520399999994
40,-24016.4113484,-6986.29369856,-16962.974750079997,-67.1428997600051
41,-23867.166719520003,-6931.82413896,-16880.92090672,-54.42167384000277
42,-23911.061832240004,-6910.571272959999,-16945.17599312,-55.31456616000651
43,-23942.650228399998,-6900.98534112,-16989.683193840003,-51.98169343999689
44,-23917.13034848,-6932.4338099199995,-16924.16446896,-60.532069600001705
45,-23925.966911680003,-6915.7811496799995,-16961.55081328,-48.63494872000592
46,-23857.428255840005,-6936.77000264,-16868.43545136,-52.22280184000192
47,-23831.10451104,-6889.67661288,-16891.56739664,-49.86050152000098
48,-23961.508026,-6914.26477672,-16997.48709184,-49.75615743999879
49,-23928.31193784,-6951.736283119999,-16927.74021528,-48.83543944000121
50,-23891.895257520002,-6920.2908685600005,-16930.82716072,-40.77722824000011
51,-23817.55499016,-6912.8098991199995,-16850.673197199998,-54.0718938400023
52,-23861.212423839996,-6911.06205064,-16901.022772959997,-49.127600239997264
53,-23921.529143359996,-6936.076262480001,-16944.70614808,-40.74673279999479
54,-23955.255569439996,-6953.05926928,-16952.623669840003,-49.57263031999537
55,-23921.581526879996,-6956.2900516,-16920.159052080002,-45.132423199993355
56,-23987.71367456,-6989.280535280001,-16947.99866216,-50.43447711999761
57,-23813.028330399997,-6935.37196392,-16834.45112824,-43.205238239996106
58,-23956.88475808,-6963.79780104,-16947.98361672,-45.1033403199981
59,-23988.61439128,-6987.71009664,-16954.266344480002,-46.63795015999858
60,-23861.37159144,-6957.4873123200005,-16863.86320768,-40.02107144000183
61,-23893.55312776,-6953.261833279999,-16891.44260984,-48.84868464000101
62,-23859.54079896,-6973.369408399999,-16843.36936048,-42.802030080001714
63,-23927.332510559998,-6948.403999440001,-16931.74564352,-47.182867599996825
64,-23930.97467848,-6993.64945424,-16895.72441752,-41.600806720001856
65,-24011.268482080002,-6980.47656504,-16988.576001840003,-42.21591519999856
66,-23939.521809920003,-6967.2207,-16931.1229544,-41.1781555200032
67,-23910.93250008,-6969.878940479999,-16912.85407824,-28.19948136000312
68,-23901.495650560002,-6968.69468752,-16890.40484296,-42.3961200800004
69,-23897.761914479997,-6967.711294319999,-16888.71804984,-41.332570319995284
70,-23908.0088964,-6984.500973120001,-16893.7883612,-29.71956207999756
71,-23836.573186880003,-6931.604766639999,-16866.34652552,-38.62189472000682
72,-23795.74069696,-6900.16508008,-16852.70520048,-42.870416400004615
73,-23822.01274272,-6915.43600152,-16872.543150640002,-34.03359055999681
74,-24035.087504,-6969.92073776,-17015.049368,-50.1173982399996
75,-23932.08701248,-6994.09450088,-16901.007307360003,-36.985204239994346
76,-23882.94952224,-6969.30716536,-16859.797077919997,-53.84527896000509
77,-23950.916063840003,-6974.64156728,-16937.79378096,-38.48071560000244
78,-23907.458472880004,-6955.732912719999,-16902.68443008,-49.04113008000422
79,-23961.849580799997,-6958.2622565599995,-16959.45848048,-44.128843759997835
80,-23806.98699528,-6953.90710464,-16811.29850896,-41.78138167999714
81,-23820.17511056,-6907.798870160001,-16859.1499108,-53.22632960000192
82,-23843.04299208,-6917.906645360001,-16868.6413596,-56.49498712000059
