,complex,receptor,ligand,delta
34,-23739.11238672,-6834.883447279999,-16853.1904592,-51.038480240000354
35,-23730.313385439997,-6831.488419440001,-16836.089218800003,-62.73574719999306
36,-23666.11351448,-6813.86220872,-16795.44804672,-56.80325903999619
37,-23777.105685040002,-6875.94406544,-16866.60510296,-34.5565166400047
38,-23872.34723904,-6890.0193901600005,-16946.64052656,-35.6873223199982
39,-23812.73611312,-6823.4575276,-16953.323850399996,-35.95473512000535
40,-23707.257438239998,-6821.110074960001,-16841.66163904,-44.48572423999576
41,-23691.36524096,-6811.104103920001,-16844.98320816,-35.27792887999749
42,-23736.44426056,-6816.640145519999,-16878.3208676,-41.48324744000274
43,-23787.339837120002,-6871.30403352,-16865.832081359997,-50.20372224000312
44,-23743.53529992,-6819.731065279999,-16881.111039760002,-42.6931948800011
45,-23782.446054160002,-6853.40162904,-16885.446010800002,-43.5984143200003
46,-23790.81917952,-6839.817890640001,-16918.43835776,-32.56293111999912
47,-23749.611228160004,-6846.492681600001,-16868.67946544,-34.43908112000281
48,-23703.3938208,-6824.850984399999,-16828.48688936,-50.05594704000032
49,-23723.19305624,-6806.817088319999,-16874.070774,-42.30519392000133
50,-23659.51158992,-6838.21403216,-16775.1110012,-46.18655655999828
51,-23725.36119344,-6849.728115520001,-16845.03721816,-30.595859760000167
52,-23801.983058240003,-6870.64718232,-16907.8152276,-23.520648320001783
53,-23772.489162,-6850.7970104,-16893.42257976,-28.269571840002754
54,-23747.50890704,-6796.2885772,-16919.561970320003,-31.65835951999543
55,-23667.80291232,-6796.36079176,-16846.21249064,-25.229629919998843
56,-23798.505638799998,-6807.68560104,-16966.727837520004,-24.092200239992962
57,-23787.874467759997,-6836.00126944,-16914.716041519998,-37.15715679999994
58,-23751.558880959998,-6826.980788960001,-16886.548018319998,-38.03007367999817
59,-23651.91447584,-6844.4773484,-16780.54803608,-26.889091360000748
60,-23735.712516319996,-6845.95648576,-16863.690922,-26.065108559996588
61,-23626.367490399996,-6835.702176639999,-16782.82219824,-7.843115519997809
62,-23746.308397359997,-6844.543279359999,-16879.4845756,-22.28054239999983
63,-23680.03444936,-6858.24900088,-16790.63631952,-31.14912896000169
64,-23667.43505136,-6825.98668392,-16818.18142,-23.266947439999058
65,-23678.795000160004,-6815.32264152,-16835.45317672,-28.019181920004485
